,0,1,2,3,4,5,6,7,8,9,10,11,12
0,,,,R2,ME,,,Mean recovery (%)+RSD(%),Mean recovery (%)+RSD(%),Mean recovery (%)+RSD(%),,,
1,Compound,Matrix,Linear Range (g L-1),R2,(%),LOQ (g kg~1),LOD(g kg-1),,,,,,
2,flufenacet,corn grain,2500,1.0000,-84,10,0.026,85,6.4,82,4.9,86,3.5
3,,fresh corn,2-500,1.0000,82,10,0.18,75,6.1,101,7.6,95,11.5
4,,straw,2-500,1.0000,-41,10,0.24,82,7.5,79,7.0,83,2.8
5,MO1,corn grain,2-500,0.9996,71,10,0.40,105,9.3,103,14.7,94,4.8
6,,fresh corn,2-500,0.9999,64,10,1.2,88,11.9,94,12.0,95,3.8
7,,straw,2500,0.9998,64,10,0.85,96,10.8,93,10.4,94,5.3
8,M02,corn grain,2-500,1.0000,-49,10,0.32,83,13.0,90,8.0,95,6.4
9,,fresh corn,2-500,0.9999,49,10,0.27,96,13.7,97,7.5,82,6.9
10,,straw,2-500,0.9994,58,10,0.89,80,8.7,83,3.6,91,7.8
11,M03,corn grain,2-500,1.0000,56,10,0.14,99,8.6,106,5.1,104,3.7
12,,fresh corn,2-500,1.0000,-45,10,0.10,87,6.5,99,4.5,88,5.4
13,,straw,2-500,1.0000,-43,10,0.34,89,7.1,88,5.2,92,7.6
14,M04,corn grain,2-500,0.9996,68,10,0.38,90,13.8,103,4.6,97,6.7
15,,fresh corn,2500,0.9999,50,10,0.23,98,10.3,99,7.0,85,7.6
16,,straw,2-500,0.9996,-41,10,0.50,84,13.1,86,6.7,91,9.0
