,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,#,NCNPR,Plant Part,Serving size,Maximum,Anthocyanins in analyzed samples,Anthocyanins in analyzed samples,Anthocyanins in analyzed samples,,Flavonoids in analyzed samples,Flavonoids in analyzed samples,Flavonoids in analyzed samples,,,,
1,,#,,according to,recommended,(g/serving),(g/serving),,,(g/serving),(g/serving),,,,,
2,,,,directions,,1,2,3,17,4,5,6,7,8,9,10
3,1,1011PR,Berry,1 capsule,3,273,598,501,,8.2,131,4058,ND,18.9,5.3,6.2
4,,,,,, 0.9 *,0.4, 0.3,,0.2, 0.2,0.5,, 3.0, 1.4,1.2
5,2,1012PR,Berry,2 capsules,1,225,14.9,6789,+,12.7,211,151,ND,33.5,2.6,34.5
6,,,,,,0.8, 6.6,0.1,,0.5,1.2, 1.8,,1.3, 1.6,1.2
7,3,1013PR,Berry+Flower,1 capsule,3,6.4,18.2,90.8,+,DUL,21.7,21.3,ND,4.8,2.6,3.9
8,,,,,,1.7, 0.8, 0.5,,, 4.0, 1.3,,1.5, 2.8, 1.8
9,4,1014PR,Berry+Flower,2 capsules,2,15.6,DUL,DUL,,9.6,33.6,2845,ND,346,391,58.9
10,,,,,, 1.8,,,, 1.0, 3.3, 0.4,, 1.0, 0.8, 0.2
11,5,1015PR,Berry,1 capsule,1,ND,30.5,28.4,,8.6,940,8.2,ND,5.4,DUL,3.4
12,,,,,,, 2.6, 0.5,, 0.8, 0.4, 0.9,, 2.6,, 2.1
13,6,1016PR,Berry,2 capsules,1,17.3,28.1,18.3,,58.4,16.7,193,ND,45.3,4.1,35.1
14,,,,,, 2.4, 6.5, 0.8,, 1.2, 0.3, 1.7,, 2.8, 3.4, 0.8
15,7,1017PR,Berry,1 capsule,1,82.3,81.0,62.5,,8.5,36.0,632,ND,95.3,32.8,28.5
16,,,,,, 0.7, 0.2, 2.0,, 1.4, 1.9, 0.1,, 3.1, 2.8, 2.0
