,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,,Ca,Mean,,P95,,Cu,Mean,,P95,,Fe,Mean,,P95,
1,Product group,Mean/,EDI,%PRIa(M/F),EDI,%PRIa (M/F),Mean/,EDI,%AI (M/F),EDI,%AI b (M/F),Mean/,EDI,%PRIa (M/F),EDI,%PRIa (M/F)
2,,P95,(M/F),,(M/F),,P95,(M/F),,(M/F,,P95,(M/F),,(M/F,
3,Total meat,48/,12/,1.2/,45/,4.5/,0.59/,0.15/,9.3/,0.44/,27/,13/,3.3/,30/,16/,148/
4,,92,7.3,0.76,28,2.9,0.89,0.09,7.0,0.27,21,33,2.0,12,10,63
5,Total liver,471,12/,1.2/,31/,3.1/,38/,9.5/,596/,62/,3846/,168/,42/,385/,178/,1619/
6,,64,7.2,0.75,20,2.1,126,5.8,446,38,2930,363,26,161,110,689
7,Total,150/,38/,3.8/,291/,29/,0.79/,0.20/,13/,0.65/,41/,13/,3.3/,30/,15/,136/
8,meat products,593,23,2.4,180,20,1.3,0.12,9.3,0.41,31,30,2.0,12,9.2,58
9,,K,Mean,,P95,,Mg,Mean,,P95,,Mn,Mean,,P95,
10,Product group,Mean/,EDI,%AI b (M/F),EDI,%AI b (M/F),Mean/,EDI,%AI b (M/F),EDI,%AI b (M/F),Mean/,EDI,%AI b (M/F),EDI,%AI b (M/F)
11,,P95,(M/F),,(M/F),,P95,(M/F),,(M/F),,P95,(M/F),,(M/F),
12,Total meat,2747/,693/,20/,2175/,62/,218/,55/,16/,162/,33,0.16/,0.040/,1.3/,0.35/,12/
13,,4436,760/,12,1347,39,197/,50/,14/,137/,39/,0.72,0.025,25/,2.2/,72/
14,Total liver,3017/,760/,22/,1934/,55/,197/,50/,14/,137/,39/,3.0/,0.75/,25/,2.2/,72/
15,,3944,463,13,1197,34,279,30,10,85,28,4.4,0.46,15,1.3,45
16,Total,2784/,702/,20/,3473/,99/,183/,46/,13/,158/,45/,0.84/,0.21/,7.1/,1.7/,58/
17,meat products,7084,427,12,2150,61,321,28,9.4,98,33,3.6,0.13,4.3,1.1,36
18,,Mo*,Mean,,P95,,Se,Mean,,P95,,Zn,Mean,,P95,
19,Product group,Mean/,EDI,%AI b (M/F),EDI,%AI b (M/F),Mean/,EDI,%AI b (M/F),EDI,%AI b (M/F),Mean/,EDI,%PRIa (M/F),EDI,%PRIa (M/F)
20,,P95,(M/F,,(M/F,,P95,(M/F),,(M/F),,P95,(M/F),,(M/F,
21,Total meat,18/,4.5/,7.0/,27/,41/,0.18/,0.045/,65/,0.27/,392/,30/,7.5/,46/,32/,193/
22,,55,2.8,4.3,792/,26,0.56,0.028,40,0.17,243,64,4.5,61,20,338/
23,Total liver,1136/,286/,441/,792/,1218/,0.55/,0.14/,198/,0.39/,560/,71/,18/,110/,55/,338/
24,,1615,174,268,490,754,0.80,0.12,175,0.24,347,112,11,145,34,455
25,Total,46/,12/,18/,94/,144/,0.42/,0.11/,151/,0.45/,644/,21/,5.3/,33/,22/,134/
26,meat products,191,7.1,11,58,89,0.92,0.064,91,0.28,399,45,3.2,43,14,181
