,0,1,2,3,4,5,6,7
0,Food,Need of,Food,Need of,Food,Need of,Food,Need of
1,,segregation,,segregation,,segregation,,segregation
2,Gukbap,,Bibimbap,,Vinegared rice stuffed,,Bean-mixed rice,
3,,,,,in fried bean curd,,,
4,Gimbap,,"Bibimbap,",,Boiled rice and cereals,,Rice cooked together,
5,,,young radish,,,,with red-beans,
6,"Gimbap,vegetable",,Boiled rice,x,Jajangbap,,Brown rice,
7,"Gimbap,cheese",,A dish made,,Cooked glutinous rice,,Sushidupbap,
8,,,with all five grains,,,,,
9,Boiled barley,,Omelet rice,,Vegetablebap(radishbap),,Scorched rice,x
10,Stir-fried rice,+,Cornbap,,Curried rice,,Boiled glutinous millet,x
11,"Stir-fried rice, Kimchi",,Peabap,,Kongnamulbap,,,
