,0,1,2,3,4,5,6
0,English name,Ca content DM,Ca content WW,Fe content DM,Fe content WW,Zn content DM,Zn content WW
1,Fishes,,,,,,
2,Swamp eel,2400,525,5.0,1.1,6.4,1.4
3,Walking catfish,1300,299,3.0,0.6,3.4,0.9
4,Snakehead murrel,362,71,1.7,0.3,3.3,0.7
5,Crustacean,,,,,,
6,Freshwater crab,"20,900",6800,32,10,9.5,3.1
7,Mollusc,,,,,,
8,Small apple snail,5600,1200,19,48,36,8.1
9,Golden apple snail,2700,444,288,48,42,6.9
10,Big apple snail,4500,812,572,102,65,12
11,Amphibian,,,,,,
12,Chinese edible frog,5800,1300,4.1,0.9,7.6,1.7
13,Insect,,,,,,
14,Cricket,98,34,59,21,25,8.8
15,Fermented fish (Padek),,,,,,
16,Champasak market,386,91,5.5,1.3,1.7,0.4
17,Champasak village,898,235,32,8.5,3.6,0.9
18,Savanakhet market,274,63,10,2.4,1.5,0.4
19, Savanakhet village,511,134,26,6.8,2.0,0.5
