,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,,Relative content (mg mg phenolics)b,Relative content (mg mg phenolics)b,Relative content (mg mg phenolics)b,,,,,,,,,,,,
1,Samplesa,CQAs,1-CQA,3-CQA,CQA,5-CQA,diCQAs,diCQA,"3,4-","3,5-","1,5-","4,5-",diCSQAs,diC-3-,diC-4-,"3,4-"
2,,,,,CQA,,,diCQA,diCQA,diCQA,diCQA,diCQA,,diC-3-,diC-4-,"3,4-"
3,,,,,,,,,,,,,,SQA,SQA,diSQA
4,Geographic,,,,,,,,,,,,,,,
5,origin,,,,,,,,,,,,,,,
6,ART,0.454d,0.067a,0.004d,TR,0.383d,0.538a,0.012a,0.009a,0.071e,0.445a,ND,0.008e,0.008e,TR,ND
7,ER,0.579a,0.040c,0.022c,TR,0.517a,0.324e,0.008b,0.002c,0.098d,0.216e,ND,0.097a,0.048a,0.034a,0.015a
8,TUS,0.441e,0.038c,0.026b,0.001,0.376e,0.524b,0.010b,0.004b,0.202b,0.308b,<,0.035d,0.017d,0.010d,0.007b
9,,,,,,,,,,,,0.001,,,,
10,PIE,0.478c,0.047b,0.031a,TR,0.400c,0.476c,0.010b,0.002c,0.210a,0.254d,<,0.046c,0.028c,0.017c,0.001c
11,,,,,,,,,,,,0.001,,,,
12,MAR,0.523b,0.050b,0.021c,TR,0.451b,0.409d,0.009b,0.004b,0.110c,0.286c,ND,0.068b,0.042b,0.026b,TR
13,Significancec,**,**,**,*,**,**,**,**,**,**,NS,**,**,**,**
14,Populations,,,,,,,,,,,,,,,
15,ART-1,0.377,0.060,TR,TR,0.318,0.612,0.013,0.010,0.088,0.501,ND,0.011,0.011,TR,ND
16,ART-2,0.361,0.062,TR,TR,0.300,0.628,0.015,0.012,0.098,0.503,ND,0.010,0.010,TR,ND
17,ART-3,0.622,0.079,0.012,TR,0.531,0.374,0.008,0.006,0.028,0.332,ND,0.004,0.004,TR,ND
18,ER-1,0.408,ND,0.041,TR,0.367,0.469,TR,ND,0.323,0.146,ND,0.123,0.085,0.050,0.013
19,ER-2,0.644,0.030,0.024,TR,0.591,0.198,0.006,TR,0.063,0.130,ND,0.157,0.085,0.055,0.017
20,ER-3,0.626,0.032,0.025,ND,0.569,0.094,0.003,ND,0.003,0.088,ND,0.279,0.121,0.096,0.063
21,ER-4,0.632,0.073,0.016,TR,0.543,0.368,0.015,0.006,0.016,0.332,ND,TR,ND,TR,ND
22,ER-5,0.482,0.048,0.028,TR,0.406,0.476,0.013,TR,0.192,0.271,ND,0.042,0.025,0.013,0.004
23,ER-6,0.691,0.069,0.007,TR,0.615,0.235,0.013,TR,0.016,0.206,ND,0.074,0.043,0.024,0.008
24,ER-7,0.569,0.030,0.013,TR,0.526,0.431,0.009,0.005,0.074,0.342,ND,TR,ND,TR,ND
25,TUS-1,0.316,0.043,0.035,TR,0.237,0.620,0.004,TR,0.302,0.314,ND,0.064,0.033,0.026,0.005
26,TUS-2,0.556,0.055,0.024,0.004,0.473,0.444,0.012,TR,0.164,0.268,TR,ND,ND,ND,ND
27,TUS-3,0.520,0.029,0.017,TR,0.474,0.426,0.014,0.007,0.068,0.338,TR,0.053,0.026,0.009,0.018
28,TUS-4,0.372,0.025,0.026,TR,0.321,0.608,0.010,0.010,0.277,0.310,0.002,0.020,0.011,0.006,0.004
29,PIE-1,0.591,0.072,0.025,ND,0.495,0.279,0.006,ND,0.081,0.192,ND,0.130,0.085,0.045,TR
30,PIE-2,0.487,0.042,0.030,TR,0.416,0.438,0.005,ND,0.195,0.238,ND,0.075,0.042,0.033,TR
31,PIE-3,0.415,0.052,0.043,TR,0.320,0.514,0.014,TR,0.288,0.211,ND,0.071,0.042,0.023,0.006
32,PIE-4,0.427,0.045,0.033,TR,0.349,0.496,0.015,TR,0.241,0.240,TR,0.077,0.048,0.024,0.005
33,PIE-5,0.299,0.055,0.043,TR,0.201,0.701,0.017,0.005,0.422,0.257,ND,ND,ND,ND,ND
34,PIE-6,0.480,0.022,0.025,TR,0.433,0.495,0.010,0.007,0.171,0.304,0.002,0.025,0.015,0.010,TR
35,PIE-7,0.753,0.083,0.029,TR,0.641,0.247,0.009,ND,0.039,0.199,ND,TR,TR,TR,ND
36,PIE-8,0.417,0.020,0.017,TR,0.380,0.564,0.008,0.006,0.204,0.346,TR,0.019,0.010,0.007,0.002
37,PIE-9,0.428,0.034,0.031,TR,0.364,0.551,0.003,TR,0.247,0.300,ND,0.020,0.013,0.007,TR
38,MAR-1,0.526,0.038,0.022,TR,0.465,0.426,0.012,0.008,0.122,0.285,ND,0.048,0.035,0.013,TR
39,MAR-2,0.521,0.062,0.021,ND,0.438,0.391,0.006,ND,0.099,0.287,ND,0.088,0.049,0.039,TR
40,Significancec,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**
41,LSDd,0.009,0.009,0.007,0.002,0.009,0.007,0.004,0.002,0.003,0.006,0.001,0.007,0.002,0.002,0.005
