,0,1,2
0,"iu,Y.M.,Mei,H.C.,SuY.W.,Fan,H.T.,ChenC.C.,Tsai,Y.C.,2014. Inhibitory effects of","Oyetayo,V.0.,Ariyo,O.O.,2013.Micro and macronutrient properties of Pleuro",
1,Pleurotus tuber-regium mycelia and bioactive constituents on LPS-treated RAW,"ostreatus (Jacq: fries) cultivated on different wood substrates. J. Biol. Sci. 6, 22",
2,"264.7 cells.J.Funct.Foods 7,662-670",,226.
3,,"Patel,S.,Goyal,A.,2012.Recent developments in mushrooms as anti-cancer",
4,"Creppy,E.E.,Bermudez,R.C., et al.,2015.Haematopoiesis radioprotection in","therapeutics:a review.3 Biotech 2,1-15","therapeutics:a review.3 Biotech 2,1-15"
5,Balb/c mice by an aqueous mycelium extract from the Basidiomycete Pleurotus,"Patel,Y.,Naraian,R.,Singh,V.K.,2012a.Medicinal properties of Pleurotus spec",
6,"ostreatus mushroom.Nat.Prod.Res.29,1557-1561.","oyster mushroom):A review.World J.Fungal Plant Biol.3,1-12.",
7,,"Patel, P., Patel, D., Patei, N., 2012b. Experimental investigation of anti-rheumat",
8,"K.,2009.Nebrodeolysin,a novel hemolytic protein from mushroom Pleurotus",activity of Pleurotus sajor-caju in adjuvant-induced arthritic rats. Chin.J.N,
9,"nebrodensis with apoptosis-inducing and anti-HIV-1 effects.Phytomedicine 16,","Med.10,269-274","Med.10,269-274"
10,198-205,"Patil, S.S., Ahmed, S.A., Telang, S.M., Baig, M.M., 2010. The nutritional value of",
11,"Maity,K.,Kar, E.,Maity, S.,Gantait,S.K.,Das,D.,Maiti,S.,Maiti,T.K.,Sikdar,S.R.",Pleurotus ostreatus (Jacq.:Fr.) Kumm cultivated on different lignocellosic ag,
12,,"wastes.Innovative Rom.Food Biotechnol.7,66-76.",
13,and antioxidant property of a novel polysaccharide isolated from the aqueous,"Patil,S.S.,2012.Cultivation of Pleurotus sajor-caju on different agro wastes.Sci.I",
14,extract of a somatic hybrid mushroom of Pleurotus florida and Calocybe indica,"Rep.2,225-228","Rep.2,225-228"
15,"variety APK2.Int.J.Biol.Macromol.48,304-310","Pelaes,A.C.V.,Goto,A.P.,Hanai,L.N.,Gomes-da-Costa,S.M.,Filho,B.A.A.,Nakam",
16,"Mallikarjuna, S.E., Ranjini, A., Haware, D.J., Vijayalakshmi, M.R., Shashirekha, M.N.","C.V., Matumoto-Pintro, P.T., 2015. Microbiological: functional and rheologi",
17,"Rajarathnam,S.,2013.Mineral composition of four edible mushrooms.J.Chem.",properties of low fat yogurt supplemented with Pleurotus ostreatus aqueou,
18,"2013,1-5.","extract.LWT-Food Sci.Technol.64,1028-1035.",
19,"Mandeel,Q.A.,Al-Laith,A.A.,Mohamed,S.A.,2005.Cultivation of oyster mushrooms","Phan,C.W.,David,P.,Tan,Y.S.,Naidu,M.,Wong,K.H.,Kuppusamy,U.R.,Sabaratn",
20,(Pleurotus spp. on various lignocellulosic wastes.World J.Microbiol.,"V., 2014. Intrastrain comparison of the chemical composition and antioxid",
21,"Biotechnol.21,601-607","activity of an edible mushroom Pleurotus giganteus, and its potent neuritoge",
22,,"properties.Sci.World J.2014,1-11","properties.Sci.World J.2014,1-11"
