,0,1,2,3,4,5,6,7,8
0,Grape varieties,Soluble,Citric acid,Tartaric acid,Malic acid,Total acidity,Titratable,pH,Tartaric a.
1,,solids (%),(mg/l),g/1),(g/1),g/1),acidityb (g/l),,Malic a.
2,Yapincak,19.6,164,7.48,2.47,10.12,6.37,3.5,3.03
3,Riesling,22.6,47,6.73,2.65,9.42,5.63,3.6,2.54
4,Clairette,22.5,62,7.28,2.19,9.53,5.66,3.6,3.32
5,Narince,22.6,45,4.98,1.87,6.90,4.01,3.6,2.60
6,Kabarcik,20.7,49,5.18,2.19,7.42,4.10,3.8,2.37
7,Rhazaki,22.6,30,5.56,2.88,8.47,4.36,3.8,1.93
8,Muskule,18.0,74,5.48,2.76,8.32,5.85,3.6,1.99
9,Hafiz Ali,21.9,54,5.46,2.77,8.28,4.80,3.8,1.97
10,Italian,20.4,62,6.23,3.40,9.65,6.23,3.7,1.83
11,Hasandede,16.9,55,6.25,2.14,8.44,5.32,3.8,2.92
12,Seedless Sultana,19.0,76,5.11,1.43,6.61,3.08,3.9,3.57
13,Minimum,16.9,30,4.98,1.43,6.61,3.08,3.5,1.83
14,Maximum,22.6,164,7.48,3.40,10.12,6.37,3.9,3.57
15,Mean,20.6,65,5.98,2.43,8.47,5.04,3.7,2.55
16,St. deviation,2.03,8.99,0.19,0.34,0.43,1.05,0.13,0.60
17,CV (%),9.85,13.83,3.18,13.99,5.08,20.83,3.51,23.51
