,0,1,2,3,4,5,6,7,8,9,10,11
0,inositol phosphate speciesb,macadamias,macadamias,,pecans,,hazelnuts,hazelnuts,,,Brazil nuts,
1,,mol/g,mol/g,% Total,mol/g,% Total,pmol/g,,% Total,,mol/g,% Total
2,InsP6,2.67  0.22,2.67  0.22,75.3,1.79  0.13,68.1,3.66  0.17,3.66  0.17,71.1,,12.6  0.82,62.8
3,InsP5,0.64  0.11,0.64  0.11,17.9,0.53  0.07,20.0,1.12  0.04,1.12  0.04,21.7,,6.31  0.10,31.4
4,InsP3,0.16  0.03,0.16  0.03,4.5,0.18  0.01,6.9,0.23  0.03,0.23  0.03,4.4,,1.04  0.06,5.2
5,InsP3,0.02  0.01,0.02  0.01,0.7,0.08  0.004,2.9,0.05  0.01,0.05  0.01,1.0,,0.05  0.02,0.3
6,InsP2,NDc,,-,0.02  0.003,0.7,0.04  0.01,0.04  0.01,0.8,,0.05  0.01,0.2
7,InsP1,0.06  0.02,0.06  0.02,1.6,0.04  0.01,1.4,0.05  0.01,0.05  0.01,1.1,,0.02  0.004,0.1
8,total,3.55,,,2.63,,5.15,,,,20.08,
9,inositol phosphate speciesb,,pistachios,,,walnuts,,,,cashews,cashews,
10,,,pmol/g,,% Total,pmol/g,,% Total,,pmol/g,pmol/g,% Total
11,InsP6,,4.17  0.44,,64.1,4.80  0.60,,72.3,,2.34  0.06,2.34  0.06,46.6
12,InsP5,,1.93  0.48,,29.7,1.55  0.33,,23.3,,1.79  0.19,1.79  0.19,35.7
13,InsP3,,0.14 0.08,,2.1,0.200.09,,3.0,,0.60 0.07,0.60 0.07,12.0
14,InsP3,,0.05  0.02,,0.8,0.02  0.01,,0.3,,0.17  0.05,0.17  0.05,3.5
15,InsP2,,0.06  0.02,,1.0,NDc,,-,,0.07  0.06,0.07  0.06,1.4
16,InsP1,,0.14  0.07,,2.2,0.07  0.05,,1.1,,0.04  0.02,0.04  0.02,0.9
17,total,,6.51,,,6.64,,,,5.02,,
