,0,1,2,3,4,5,6,7,8,9,10,11
0,,Calibration,,Cross validation,Cross validation,,Observed values,Observed values,Estimated values b.c,Estimated values b.c,"CI95% of estimate b,d","CI95% of estimate b,d"
1,Micronutrient,R2c,,R2cv,,Equationa,,,,Max,UL,
2,,R2c,RMSEC,R2cv,RMSECV,,Min,Max,Min,Max,UL,LL
3,TCAP,,,,,,,,,,,
4,Ca,0.474,1.440,0.513,1.930,,3.4,9.8,,-,,
5,Mg,0.367,1.400,0.405,1.360,,12.9,18.5,,,,
6,K,0.399,29.500,0.484,29.000,,145,280,,-,,","
7,P,0.689,7.750,0.669,7.820,,39,85,,,,-
8,Fe,0.173,0.076,0.225,0.074,,0.43,0.70,,-,,
9,Zn,0.866,0.142,0.865,0.138,nchem=0.85nTCAp -0.09,0.24,1.32,0.22,1.08,0.05,1.37
10,-carotene,0.949,14.700,0.836,15.300,,0.2,202,2.2,171,-3.5*,191
11,Vit E,0.902,0.144,0.892,0.142,nchem =0.76nTCAP + 0.24,0.70,2.20,0.71,2.06,0.50,2.39
12,Riboflavin,0.802,0.011,0.780,0.011,nchem=1.37nTCAP-0.01,0.02,0.10,0.02,0.09,0.00,0.12
13,Niacin,0.924,0.187,0.905,0.188,nchem = 1.08nrCAP - 0.20,0.21,2.59,0.46,2.61,0.21,3.07
14,Vit B6,0.422,0.021,0.497,0.021,,0.05,0.13,,,,
15,USDA,,,,,,,,,,,
16,,,,,,,,,,,,
17,Ca,0.705,1.440,0.730,1.400,Nchem =0.71nuSDA +0.21,3.4,9.8,6.5,12.2,3.1,12.6
18,Mg,0.750,0.880,0.771,0.861,Nchem=0.28nuSDA +10.15,12.9,18.5,13.6,17.9,11.9,20.6
19,,0.435,28.600,0.487,28.300,,145,280,,-,-,
20,P,0.699,7.630,0.645,7.520,,39,85,,-,,
21,Fe,0.002,0.084,0.143,0.084,,0.43,0.70,,,,
22,Zn,0.782,0.181,0.795,0.179,Nchem=0.67nUSDA+0.05,0.24,1.32,0.12,1.04,0.10,1.48
23,-carotene,0.958,13.500,0.828,14.000,nchem=1.44nuSDA+5.27,0.2,202,5.3,173,0.1,189
24,Vit E,0.883,0.157,0.881,0.156,nchem=1.48nUSDA +0.10,0.70,2.20,0.80,2.02,0.56,2.40
25,Riboflavin,0.880,0.008,0.870,0.008,,0.02,0.10,0.03,0.10,0.03,0.13
26,Niacin,0.968,0.121,0.953,0.122,nchem=0.81nuSDA -0.52,0.21,2.59,0.18,2.34,0.01,2.65
27,Vit B6,0.220,0.025,0.312,0.024,,0.05,0.13,,,,
