,0,1,2,3,4,5,6,7,8,9,10
0,,Groupa Parameters Minerals,Groupa Parameters Minerals,,,,,,,,
1,,,Ca,Cu,Fe,K,Mg,Mn,Na,P,Zn
2,A,n=24,,,,,,,,,
3,,AMb,0.96,1.09,1.28,1.17,1.28,1.23,0.98,1.02,1.00
4,,CVb,28.6,18.8,25.4,15.3,15.5,25.6,22.0,12.0,17.2
5,,95% CI,,,,,,,,,
6,,LLb,0.41,0.68,0.63,0.81,0.88,0.60,0.55,0.77,0.66
7,,ULb,1.51,1.49,1.92,1.53,1.68,1.86,1.41,1.26,1.34
8,,Min.b,0.42,0.41,0.74,0.93,0.92,0.61,0.64,0.79,0.70
9,,Max.b,1.67,1.48,1.72,1.61,1.74,2.01,1.41,1.32,1.33
10,,Median,0.95,1.11,1.30,1.13,1.23,1.26,0.95,1.01,1.01
11,B,n=17,,,,,,,,,
12,,AM,0.87,1.13,1.15,1.05,1.22,1.20,0.97,0.95,1.05
13,,CVb,24.6,20.0,26.6,13.8,15.8,25.6,23.2,12.5,17.3
14,,95% CI,,,,,,,,,
15,,LL,0.44,0.68,0.54,0.76,0.84,0.59,0.52,0.71,0.69
16,,UL,1.29,1.58,1.76,1.34,1.61,1.81,1.42,1.19,1.41
17,,Min.,0.43,0.38,0.41,0.65,0.93,0.81,0.59,0.78,0.77
18,,Max.,1.27,1.41,1.61,1.26,1.69,1.86,1.43,1.25,1.54
19,,Median,0.87,1.18,1.09,1.06,1.22,1.11,1.02,0.95,1.03
20,A+B,n=41,,,,,,,,,
21,,AM,0.92,1.10,1.22,1.12,1.26,1.22,0.98,0.99,1.02
22,,CV,27.4,19.2,26.1,15.6,15.6,25.3,22.2,12.5,17.2
23,,95% CI,,,,,,,,,
24,,LL,0.42,0.68,0.59,0.77,0.86,0.60,0.54,0.74,0.67
25,,UL,1.43,1.53,1.86,1.47,1.65,1.83,1.41,1.24,1.37
26,,Min.,0.42,0.38,0.41,0.65,0.92,0.61,0.59,0.78,0.70
27,,Max.,1.67,1.48,1.72,1.61,1.74,2.01,1.43,1.32,1.54
28,,Median,0.92,1.15,1.21,1.09,1.22,1.17,0.96,0.99,1.03
