,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
0,Structure,Structure,,,,,,,,"Compound type,name","Compound type,name",,"Compound type,name",,,,,,,,,Substituents,Substituents,Substituents,,,,
1,,,,,,,,,,Benzophenones,Benzophenones,,,,,,,,,,,,,,,,,
2,,,,,OH,OH,,,,3--D-glucopyranosyl-4--D-glucopyranosyloxyiriflophenone (1),,,,,,,,,,,,,RR=-D-glucopyranosyl;R=H,,,,,
3,,,,,,,,,,3--D-glucopyranosylmaclurin (2),,,3--D-glucopyranosylmaclurin (2),,,,,,,,,,R=H;R=-D-glucopyranosyl;R=OH,,,,,
4,R2,,,,,,,,,3--D-glucopyranosyliriflophenone(3),,,,,,,,,,,,,RR=H;R=-D-glucopyranosyl,,,,,
5,,OF,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,R,,,,,,,,Xanthones,Xanthones,,,,,,,,,,,,,,,,,
7,HO,,,,,OH,,,,Mangiferin (6,Mangiferin (6,,,,,,,,,,,,R=H;R=-D-glucopyranosyl,,,,,
8,,,,,,,,,,"Tetrahydroxyxanthone-di-O,C-hexose (4, 5)",,,,,,,,,,,,Sugar positions unknown,Sugar positions unknown,Sugar positions unknown,Sugar positions unknown,Sugar positions unknown,Sugar positions unknown,
9,R2,,,,,OH,,,,,,,,,,,,,,,,,,,,,,
10,,OH,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,,,,,OH,OH,,,Flavones,Flavones,,,,,,,,,,,,,,,,,
12,,R,,,,,,,,Vicenin-2(10,Vicenin-2(10,,,,,,,,,,,R1R=-D-glucopyranosyl,R1R=-D-glucopyranosyl,R1R=-D-glucopyranosyl,R1R=-D-glucopyranosyl,,R1R=-D-glucopyranosyl,
13,HO,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,R2,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,OH,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,,,,,,RA,,,Flavanones,Flavanones,,,,,,,,,,,,,,,,,
17,,,,,,,,,,(2S)-5-[-L-rhamnopyranosyl-(12)--D-glucopyranosyloxy]naringenin (11),,,,,,,,,,,,,"RR3,R4=H;R=neohesperidosyl",,,,,
18,,,,,,,,,,Narirutin (12),Narirutin (12),,,,,,,,,,,"R=rutinosyl;R2R3,R4=H","R=rutinosyl;R2R3,R4=H","R=rutinosyl;R2R3,R4=H","R=rutinosyl;R2R3,R4=H",,"R=rutinosyl;R2R3,R4=H",
19,,,,,,,,,,Hesperidin 14,Hesperidin 14,,,,,,,,,,,,R=rutinosyl;R=H;R=OH;R4=CH3,,,,,
20,,,,,,,,,,"Eriodictyol-O-(hexosyl-O-deoxyhexose(8,9)",,,,,,,,,,,,,Rs= OH;R4=H;Sugar position unknown,,,,,
21,,,,,,,,,,Hesperetin-O-(hexosyl-O-deoxyhexose)-O-deoxyhexose (13),,,,,,,,,,,,,R=OH;R4=CHSugar positions unknown,,,,,
22,,R2,,,,,,,,,,,,,,,,,,,,,,,,,,
23,,,,250,,,,,,,,,,,,,,,,,,288 nm,,,,,320 nm,A)
24,,,(nvu),200,,,,,,,,,,,,,,9,,,,,,,,,,
25,,,(nvu),,,,,,,,,,,,,,8,,,,,,,,,,,
26,,,(nvu),150,,,,,,,,,,,,,,,,11,,,,,,,,
27,,,,100,,,,,,,,,,,,,,,,,,,,,,,,
28,,,,50,,,,,,,,,,,,,,,,,,,,,12,13,14,
29,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
30,,,,,0,,,5,,,10,,15,20,,25,,30,35,35,40,40,,45,,50,50,55
31,,,,,,,,,,Time (min),,,,,,Time (min),Time (min),Time (min),,,,,,,,,,
32,,,,250,,,,,,,,,,,,,,,,,,,,,,14,14,B)
33,,,,200,,,,,,,,,,,,,,,,,,,,,,,,
34,,,,150,,,,,,,,,,,6,,,,,,,,,,,,,
35,,,,100,,,,,,,,,,,,,,,,,,,,,,,,
36,,,,50,,,,1,,,,,,,,,,,,,,,,,,,,
37,,,,,,,,,2,,,4,,,,,,10,,,,,,,,,,
38,,,,,,,,5,,,10,,15,20,,25,,30,35,,40,,,45,,50,,55
39,,,,,,,,,,Time (min),,,,,,Time (min),Time (min),Time (min),,,,,,,,,,
