,0,1,2,3,4,5,6,7,8
0,Pandanus,Sample key,Sample key,Sample edible,B-Carotene,B-Carotene,RE,,#of keys to meet RSI g RE/day
1,cultivara,length(cm,girth (cm)c,portion,equivalents,equivalents,g/keyg,,"for non-pregnant, non-lactating"
2,,,,weight (g,g/100ge,g/keyf,,female adulth,female adulth
3,Juaipwehpw,8,20,62,405,251,42,12,
4,Luarmwe,9,17,58,345,200,33,15,
5,Binu-Dolongahai,9,14,70,335,235,39,13,
6,Nehnkedak,8,17,50,330,165,28,18,
7,Kipar en Majal,10,20,83,295,245,41,12,
8,Mwajak,9,20,72,260,187,31,16,
9,Jorum,8,16,45,265,119,20,25,
10,Mehkilkil,7,14,32,210,67,11,45,
11,Doapwoadin,11,18,78,195,152,25,20,
12,Binu-Dalinga,7,12,40,190,76,13,38,
13,En Kehlen,9,17,56,125,70,12,42,
