,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,,Compound,Retention time,Retention time,Strawberry,Raspberry,Blueberry,European,Blackcurrant,Sour,Black,Purple,Purple,Red
1,,Compound,t(min),Relative,Strawberry,Raspberry,Blueberry,Cranberry,Blackcurrant,Cherry,Grape,Carrot,prickly pear,pigments
2,Amaranth (E-123,,5.00,0.19,,,,,,,,,,X
3,Betanin,,5.00,0.27,,,,,,,,,XXX,
4,Isobetanin,,6.80,0.37,,,,,,,,,X,
5,Cyanidin 3-xyloxyl-glucosyl-galactoside,Cyanidin 3-xyloxyl-glucosyl-galactoside,7.80,0.42,,,,,,,,X,,
6,Delphinidin 3-galactoside,Delphinidin 3-galactoside,8.30,0.45,,,XXX,X,,,,,,
7,Ponceau 4R (E-124),,9.00,0.49,,,,,,,,,,X
8,Betanidin,,9.10,0.49,,,,,,,,,x,
9,Delphinidin 3-glucoside,Delphinidin 3-glucoside,10.50,0.57,,,XXX,X,x,,X,,,
10,Cyanidin 3-xyloxyl-galactoside,Cyanidin 3-xyloxyl-galactoside,11.20,0.61,,,,,,,,XX,,
11,Isobetanidin,,11.20,0.61,,,,,,,,,x,
12,Cyanidin 3-sophoroside,Cyanidin 3-sophoroside,11.50,0.63,,XXX,,,,x,,,,
13,Delphinidin 3-rutinoside,Delphinidin 3-rutinoside,11.80,0.64,,,,,XXX,,,,,
14,Cyanidin 3-galactoside,Cyanidin 3-galactoside,12.20,0.66,,,XX,XXX,,,,,,
15,Delphinidin 3-arabinoside,Delphinidin 3-arabinoside,12.60,0.68,,,XX,,,,,,,
16,Cyanidin 3-glucosyl-rutinoside,Cyanidin 3-glucosyl-rutinoside,12.80,0.70,,,,,,XXX,,,,
17,Cyanidin 3-glucoside,Cyanidin 3-glucoside,14.50,0.79,x,XX,XXX,,X,X,X,,,
18,Pelargonidin 3-sophoroside,Pelargonidin 3-sophoroside,15.20,0.83,,X,,,,,,,,
19,Cyanidin 3-xyloxyl-galactoside-ferulic,Cyanidin 3-xyloxyl-galactoside-ferulic,15.40,0.84,,,,,,,,XXX,,
20,Petunidin 3-galactoside,Petunidin 3-galactoside,15.50,0.84,,,x,,,,,,,
21,Cyanidin 3-rutinoside,Cyanidin 3-rutinoside,16.30,0.89,,x,,,XXX,XX,,,,
22,Cyanidin 3-arabinoside,Cyanidin 3-arabinoside,16.50,0.90,,,XX,X,,,,,,
23,Cyanidin 3-xyloxyl-galactoside-synapic,Cyanidin 3-xyloxyl-galactoside-synapic,16.90,0.92,,,,,,,,XX,,
24,Cyanidin 3-xyloxyl-glucosyl-galactoside-cumaric,Cyanidin 3-xyloxyl-glucosyl-galactoside-cumaric,17.20,0.93,,,,,,,,x,,
25,Petunidin 3-glucoside,Petunidin 3-glucoside,17.50,0.95,,,XXX,,,,x,,,
26,Pelargonidin 3-glucoside,Pelargonidin 3-glucoside,18.40,1.00,XXX,,,,,,,,,
27,Delphinidin,,19.20,1.04,,,,,x,,,,,
28,Cochineal (E-120),,19.30,1.05,,,,,,,,,,X
29,Peonidin 3-galactoside,Peonidin 3-galactoside,19.50,1.06,,,X,,,,,,,
30,Petunidin 3-arabinoside,Petunidin 3-arabinoside,19.80,1.08,,,X,,,,,,,
31,Pelargonidin 3-rutinoside,Pelargonidin 3-rutinoside,20.60,1.12,x,,,,,,,,,
32,Allura red AC (E-129),Allura red AC (E-129),20.80,1.13,,,,,,,,,,X
33,Red 2G (E-128),,21.50,1.17,,,,,,,,,,X
34,Peonidin 3-glucoside,,22.00,1.20,,,,,,,XXX,,,
35,Malvidin 3-galactoside,Malvidin 3-galactoside,22.30,1.21,,,X,,,,,,,
36,Peonidin 3-rutinosido,Peonidin 3-rutinosido,23.70,1.29,,,,,,,,,,
37,Malvidin 3-glucoside,Malvidin 3-glucoside,24.50,1.33,,,XXX,,,,XXX,,,
38,Azorubine (E-122),,26.20,1.42,,,,,,,,,,X
39,Malvidin 3-arabinoside,Malvidin 3-arabinoside,26.70,1.45,,,X,,,,,,,
40,Erythrosine (E-127,,28.20,1.53,,,,,,,,,,X
