,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,Legume seeds,Amino acids (mgg-1 N),Amino acids (mgg-1 N),Amino acids (mgg-1 N),,,,,,,,,,,,,,,
1,,Essential,Essential,,,,,,,,,,Non-essential,Non-essential,,,,,
2,,Thr,Val,Ile,Leu,Lys,Phe,Tyr,Met,Cys,Trp,His,Asx,GIx,Ser,Gly,Ala,Arg,Pro
3,Albizia lebbeck,278,223,375,585,872,271,581,24,32,41,806,394,522,398,273,106,872,182
4,Caesalpinia bracteosa,358,154,23,342,789,346,262,49,45,21,344,394,587,398,432,6,1202,148
5,Caesalpinia ferrea,318,154,154,311,789,281,222,44,101,21,419,471,757,369,378,8,1190,184
6,Dimorphandra gardneriana,256,317,308,506,693,474,340,67,56,22,234,369,581,371,247,307,984,203
7,Dioclea megacarpa,292,154,188,356,1088,304,116,0,0,11,737,494,348,203,262,33,1490,180
8,Enterolobium contortisiliquum,239,213,188,509,931,326,234,132,52,12,379,577,489,356,314,311,509,164
9,Erythrina. velutina,273,346,332,457,789,524,501,132,52,131,199,341,489,292,256,302,758,209
10,Hymenaea courbaril,211,261,276,390,861,254,353,0,101,0,918,408,375,257,501,175,922,131
11,Lonchocarpus sericeus,153,191,236,358,970,211,173,16,101,29,736,568,818,344,296,262,574,96
12,Parkia platycephala,242,304,229,426,939,360,218,303,211,23,296,531,818,344,296,341,574,132
13,Piptadenia moniliformis,255,278,229,417,939,360,224,303,73,10,296,373,490,293,326,53,1120,215
14,Pterogyne nitens,299,241,210,418,576,294,239,29,146,32,263,542,818,356,328,356,1160,519
15,Senna obtusifolia,321,241,210,498,576,294,239,89,89,54,263,542,818,356,328,341,529,519
16,Senna rugosa,299,288,168,421,456,265,182,0,151,65,374,789,819,434,385,386,597,238
17,Standards,,,237,,,,314,86,,,190,696,,,,,,
18,Soybeansa,238,291,237,480,409,378,314,86,102,34,146,696,1140,264,242,266,532,182
19,Ovalbuminb,308,346,361,482,689,559,275,327,149,91,146,382,538,339,204,363,650,182
20,Child requirementsc,,,,,,,,,,,,,,,,,,
21,2-5 Years,212,219,175,412,362,,138,,156,69,119,,,,,,,
22,10-12 Years,175,156,175,275,275,,138,,138,6,119,,,,,,,
