,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,,uns,,,,,,,,,,3008,,,,6777,,,
1,,as,,2,,,,,,,,,,,,,,,
2,,,++++++++++++++++++++++++++++++,,,,,,,,,,,,,,,,+i+1+I
3,,as,,,,,,,,,,,,,,,,,
4,,,++1+1+1+,,,,,,,,,,,++1+1+1+,++1+1+1+,++1+1+1+,++1+1+1+,,+1+1+1
5,,,,,,,,,,,,298,1698,1171,,,2653,,3558
6,,,,104,,,,,,,,,,,,,,,
7,,as,,,,,,,,,,,,1.12,,,112,,
8,,,+1+1+1+I+I,++1,,,,,,,,,,+1+1+1+I+I,+1+1+1+I+I,+1+1+1+I+I,+1+1+1+I+I,+1+1+I,+1+1+I
9,,,,,,,,,,,,,,,,,,,328
10,,as,,,,,,,,,,,,,,,,,
11,,,+1+1+1+1+1+1+1+1+1+1+1+1+1+1,+1+1+1+1+1+1+1+1+1+1+1+1+1+1,,,,,,,,,,+1,+i+I+1++1+i+1+,+i+I+1++1+i+1+,,+i+I+1++1+i+1+,+i+I+1++1+i+1+
12,,,,,,,,,,,,,,,,,,,3
13,,,,,,,,,,,,,,,,,,,2
14,,as,,,,,,,,,,,,,,,,,174
15,,,+1+1+1+1+I+I+I+I+I++I+I+1+I+I+I+IZ+1+1+1+1+I+I+IZ+I+1++1+I+I+I+1++1++1+,,,,,,,,,,,,,,,,
16,,as,,,,,,,,,,,,,,,,,
17,,,+I+1+1+1+I+I++I+I+1+1+1+I+I+I+I+1+I+I+1++I+1+1+1+I+1+I+1+1+1+1+1+1+I+I,,,,,,,,,,,,,,,,
18,00-8,Meen,,,,,,,,,,,,,,,40,,10000
19,,as,,,,,,,,,,,,,,,,,117
20,,,++1++1++1+Z++1+2+1+1++1+1+1+1+,+1+1+1+1+,+1+1+1+1+,,+++++,,+++++,,,,,,,,,,
21,,,,,,,114,,,,118,,,,145,112,,,
22,,,,,,,,,,,,,,,,,,,and
23,,,,,Leeees,seees,,Leeees,Sren,Leeees,Leers,,,,,,,Brrk,Leeees
24,,,,,,,,,,dosinop,,,,,,,,,
