,0,1,2,3,4,5,6
0,mg/100 g,Juliano and,Wolnik et al.,Sotelo et al.,Marr et al.,Scherz et al.,USDA
1,,Bechtel,(1985),(1990),(1995),(2000),(2004)
2,,(1985),,,,,
3,K,60-280,12.5-195,181-368,210-300,150-260,223
4,P,170-430,48-230,,240-310,250-383,333
5,Mg,20-150,3.95-92,,100-130,110-166,143
6,Ca,10-50,2.6-7.9,9.2-18.8,3-11,11-39,23
7,Zn,0.6-2.8,0.72-2.1,1.6-3.1,1.3-2.1,0.8-2,2.02
8,Fe,0.2-5.2,0.14-1.0,0.8-2.5,0.5-5.7,2-3.6,1.47
9,Na,1.7-34,,9.8,0-19,10,7
10,Mn,0.2-3.6,0.41-3.9,,2.5-6,1.1-2.4,3.74
11,Cu,0.1-0.6,0.053-0.51,,0.14-1.3,0.24-0.30,0.277
12,Se,0.03,,,,0.002-0.071,0.023
