,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0,Mn,A,0.007,30.2,28.9,7.7,9.6,BDL,BDL,0.751,12.1,0.1,0.2,BDL,1.3,1.3,1.3
1,,A,0.007,0.19,1.443,1.64,0.359,0.903,0.903,0.751,0.751,2.31,1.91,1.15,1.68,1.22,1.22
2,V,A,0.0001,0.0054,0.0474,0.165,BDL,BDL,BDL,BDL,BDL,BDL,0.0053,BDL,0.0065,,0.0067
3,Cr,,0.0001,0.0232,0.0243,0.0695,0.0047,0.0141,0.0141,0.0125,0.0125,0.0072,0.0121,BDL,0.0153,,0.0146
4,Fe,,0.0007,0.402,2.78,0.965,0.12,0.0619,0.0619,0.846,0.846,0.45,3.28,0.0766,1.13,,1.08
5,Co,,0.001,0.483,0.0303,0.0261,0.0049,0.00369,0.00369,0.0058,0.0058,0.00118,0.00619,BDL,0.00875,,0.107
6,Ni,,0.001,0.483,0.862,0.386,0.063,0.036,0.036,0.098,0.098,BDL,0.019,BDL,0.101,0.107,0.107
7,Cu,,0.0001,18.6,0.245,2.26,1.05,0.0749,0.0749,0.0406,0.0406,0.0583,0.217,0.245,0.811,,0.834
8,Zn,,0.0001,18.6,14.4,7.29,1.3,2.02,2.02,6.46,6.46,0.331,0.495,0.245,1.76,,1.75
9,Rb,,0.0001,5.81,5.54,3.13,1.3,1.25,1.25,1.13,1.13,0.091,0.718,0.0528,0.439,0.444,0.444
10,Sr,,0.0001,0.00111,10.7,3.97,0.568,0.213,0.213,7.96,7.96,0.103,0.349,0.00035,0.273,,0.275
11,Mo,,0.00006,0.00111,0.00104,0.0004,0.0002,0.00037,0.00037,0.00064,0.00064,0.00038,0.0006,0.00035,0.00063,,0.00248
12,CS,,0.0006,0.0171,0.0162,0.0316,0.0011,0.0028,0.0028,0.007,0.007,0.0052,0.0064,0.0023,0.0022,,0.0032
13,Ba,,0.00004,0.0108,0.00494,0.00236,0.00035,0.00076,0.00076,0.00058,0.00058,0.00042,0.00575,BDL,0.126,,0.114
14,Ba,,0.007,6.5,6.16,2.7,0.977,0.057,0.057,1.61,1.61,0.043,0.098,BDL,0.126,,0.114
15,Hg,,0.0001,0.0025,0.0002,BDL,0.0014,0.0022,0.0022,0.0044,0.0044,0.0052,0.0009,0.0009,0.0046,,0.0027
16,Pb,,0.000007,0.0167,0.0254,0.0367,0.0206,0.0041,0.0041,0.0116,0.0116,0.00408,0.00621,0.00097,0.0029,,0.00215
17,Bi,,0.000007,0.00106,0.00005,0.00011,0.00008,0.00014,0.00014,0.00083,0.00083,0.0005,0.00025,0.00029,0.00017,,0.00021
