,0,1
0,Variables,Significance
1,C16:0,0.769636
2,C16:1,2.159664
3,C18:0,1.711578
4,C18:1,1.368731
5,C18:2,2.892852
6,C18:3,1.668148
7,C20:0,3.278648
8,C20:1,5.494379
9,C22:0,1.319444
10,C24:0,2.565355
11,Total lipids (TL,0.656785
12,Total neutral lipids (TNL),0.453556
13,Total glycolipids (TGL),3.778821
14,Total phospholipids(TPL),2.987134
15,Totla unsaponifiables (Unsap.,6.427269
16,Campsterol,3.891371
17,Stigmasterol,4.733156
18,-sitosterol,2.774303
19,A5-Avenasterol,13.337587
20,A7-Avenasterol,12.199478
21,-Tocopherol,3.177812
22,-Tocopherol,4.657162
23,y-Tocopherol,14.652135
24,-Tocopherol,3.044987
