,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,Free amino,Day 0,1,,2,,3,,4,,5,,6,,7,,8,,9,,10
1,acid (mg/g),,,,,,,,,,,,,,,,,,,,
2,Acidic,,,,,,,,,,,,,,,,,,,,
3,Asparagine,11.90.01a,,9.60.90b,,8.60.10c,,8.40.08c,,9.60.06b,,9.020.20b,,9.30.07b,,9.30.01b,9.40.05b,9.40.05b,,8.40.20c,7.60.10d
4,Glutamine,15.20.30a,14.10.40b,14.10.40b,12.30.10c,12.30.10c,12.70.20c,12.70.20c,13.50.10c,13.50.10c,12.80.08c,12.80.08c,12.50.10c,12.50.10c,12.50.40c,12.50.40c,12.40.30c,12.40.30c,11.50.10d,11.50.10d,10.80.10d
5,Serine,4.4  0.02a,,3.90.10a,,3.90.07a,,4.00.06a,,4.2 0.02a,,3.90.10a,,4.10.05a,,3.90.07a,,3.90.06a,,3.20.20b,3.30.10b
6,Histidine,2.30.10a,,2.00.10b,,1.80.04c,,2.00.06b,,2.10.02a,,2.10.09b,,1.90.01b,,1.70.07c,,2.00.08b,,1.60.01c,1.90.00b
7,Hydrophobic,,,,,,,,,,,,,,,,,,,,
8,Alanine,4.60.08b,,4.20.10b,,3.90.01c,,5.40.04a,,5.00.00a,,5.20.04a,,4.60.01b,,3.60.06c,,4.50.03b,,3.90.00c,3.30.03c
9,Tyrosine,3.00.01a,,2.50.01c,,2.4 0.02c,,3.10.07a,,2.80.01b,,2.90.02b,,2.80.00b,,2.70.00b,,2.70.02b,,2.50.09c,2.10.02d
10,Valine,5.10.03a,,4.40.05c,,4.60.02b,,4.70.04b,,5.00.01a,,4.70.08b,,4.50.04b,,4.60.00b,,4.5 0.02c,,4.20.01c,3.70.30d
11,Isoleucine,5.00.01a,,4.40.02c,,4.30.00c,,4.70.06b,,4.9  0.04a,,4.90.06a,,4.70.07b,,4.70.04b,,4.60.04b,,4.3 0.04c,3.60.00d
12,Leucine,8.4 2.10a,,6.90.02c,,7.50.06b,,6.20.10c,,6.80.01c,,7.40.00b,,7.40.30b,,5.80.06d,,5.80.10d,,6.00.06c,4.10.02e
13,Phenylalanine,3.30.10b,,1.00.20d,,3.30.04b,,3.70.10a,,3.80.10a,,3.70.06a,,3.60.10a,,3.70.02a,,3.6  0.04a,,3.40.01b,2.60.01c
14,Others,,,,,,,,,,,,,,,,,,,,
15,Glycine,7.30.09a,,6.40.30c,,6.20.03c,,6.90.05b,,6.80.03b,,6.70.03b,,7.00.14a,,6.70.02b,,6.60.03b,,6.20.07c,5.70.04d
16,Arginine,4.20.13b,,5.10.03a,,5.10.00a,,5.5 0.05a,,5.50.01a,,5.3  0.04a,,5.0 0.02a,,5.50.03a,,5.2  0.07a,,4.4 0.06b,3.90.03b
17,Threonine,3.00.10a,,2.80.30b,,3.10.03a,,3.2 0.01a,,3.4 0.02a,,3.40.01a,,3.30.08a,,2.90.10b,,2.70.10b,,2.40.02b,2.50.03c
18,Proline,3.5  0.02a,,3.10.20b,,3.10.03b,,3.70.02a,,3.6  0.02a,,3.60.01a,,3.50.01a,,3.20.00b,,3.40.05b,,3.10.07b,2.70.06c
19,Methionine,1.10.01a,,0.70.02b,,0.60.01b,,1.10.01a,,0.60.01b,,0.60.01b,,0.60.02b,,0.90.01a,,1.10.01a,,0.50.01c,0.70.01b
20,Cysteine,7.9  0.01a,,6.80.10b,,6.70.02b,,7.30.10a,,7.5 0.03a,,7.4  0.01a,,7.10.10a,,7.0  0.03a,,6.90.06b,,6.60.05b,6.1 0.00c
21,Lysine,7.2  0.40a,,5.61.90c,,5.50.40c,,6.8  0.07b,,7.2  0.04a,,7.4  0.06a,,7.0  0.00a,,6.60.00b,,6.70.10b,,6.00.06b,4.2  0.02d
22,Total,97.3,83.5,83.5,82.8,82.8,89.8,89.8,88.1,88.1,90.9,90.9,88.9,88.9,85.2,85.2,86.2,86.2,78.2,78.2,68.7
