,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,,100,100,100,100+q9600,0'0+ e6tZ'0,008000,,,00qe0100,,,,,,,,,
1,,,,,100+q9600,0'0+ e6tZ'0,008000,,,00qe0100,,,,115,,,2,8,640
2,Pro,,,,100+q9600,0'0+ e6tZ'0,008000,,,00qe0100,,,,115,,,,8,640
3,,OI'0 F qLZZ'O,LO'OF_pqL6IO,,100p1100,,,,,SO'O F po6SI'O,,,,,0000000,,00000,IE'OF pqr Z9b'O,IE'OF pqr Z9b'O
4,,100,,,100q1000,,,,,ZO'O + pI8I'O,,I0'0F qr 098'0,100qe,,,0I'O F qe Z98'O,,SO'0 F qr 8Ot'0,
5,Aa,,,,100q1000,,,,,ZO'O + pI8I'O,,I0'0F qr 098'0,,,,0I'O F qe Z98'O,,SO'0 F qr 8Ot'0,
6,&V,22,,,,,,100,,,,vO'O F qe 8v9'O,v0'O F qe 8L8'0,EO'0F qe Ivv'0,OI'O FqZLZ'0,,,EO'O F qe OEb'0,E0'0F qZSZ'0
7,,S00,00,000,00000000,I0'0+ qt8I'0,,,800,00'0 F qIZI'0,,00'0Fq8880,I0'0+ p867'0,100+01+0,,,IO'O F poe 8Zv'O,90'0+qe 9Lb'O,I0'OF po Z9V0'0
8,Cit,,,,00000000,I0'0+ qt8I'0,,,,00'0 F qIZI'0,,00'0Fq8880,I0'0+ p867'0,100+01+0,,,IO'O F poe 8Zv'O,90'0+qe 9Lb'O,I0'OF po Z9V0'0
9,,,,,,,,,,,Phe,00'0Fq8880,I0'0+ p867'0,100+01+0,,,IO'O F poe 8Zv'O,90'0+qe 9Lb'O,I0'OF po Z9V0'0
10,Cin,,,,,,,,,,Met,I0'0 Fq S890'0,,,ZO'0F oq 8vt0'O,L0'0 F sqe ZS80'0,1000800,SO'0 F oqe 8990'0,SO'0 F oqe 8990'0
11,Ser,I0'O F qqeOI8'O,80'0F qeb080,,,S0'0+ sqe967'0,Z0'O F xqe96E'O,I0'0-qe604'0,,,,I0'0Fq0440,,,00'0Fp6I8'0,,1001110,8O'OF qr 6IS'O,
12,,000,+,+,100,000,000,100,,100107,,,,,,,,,
13,Cu,,06',,,,,,,100107,,,,1002900,0000000,I0'0 Fq 688'0,,,OO'O F p OZZ'0
14,dsv,,1009660,EO'O FoqeZI6'O,,,,1001000,,,,000110,,1002900,000800,Z0'0F or 8OZ'O,,,
15,,,,,,,,,,,SIH,000110,,,000800,Z0'0F or 8OZ'O,,,
16,,nsoa,,,,,,Mroa,,"Mona,",,nsoa,,,,,Mirla,,MDna
