,0,1,2,3,4,5,6,7
0,Cereal,Ash (g/100 g),Moisture(g/100g,IDF(g/100 g),SDFP (g/100 g),SDFSg/100 g,Total DFg/100g,Fineli (g/100 g
1,Industrial,,,,,,,
2,V600 Baking wheat-flour,0.6,12.0,1.4  0.2,1.3  0.1,1.0  0.1,3.7  0.2,3.7
3,Wholegrain wheat flour,1.5,11.0,8.0  0.0,1.4  0.4,1.4  0.1,10.8  0.3,
4,Wheat bran,6.2,11.0,41.0  0.2,2.8  0.8,2.5  0.2,46.3  0.5,-
5,R800wholemeal rye flour,1.5,12.0,9.2  0.2,4.2  0.4,4.4  0.2,17.8  0.3,-
6,R1000 wholemeal rye flour,1.3,13.0,8.6  0.1,3.7  0.2,4.4  0.2,16.7  0.1,-
7,Rye groats,1.5,12.0,8.9  0.2,3.5  0.4,4.0  0.3,16.4  0.5,-
8,Oat flour,1.8,11.0,4.9  0.0,3.5  0.8,0.8  0.3,9.2  0.5,-
9,"Rolled oats, steamed",2.0,10.0,5.9  0.0,4.6  0.2,0.4  0.1,10.9  0.3,
10,Oat bran,2.6,11.0,7.3  0.2,6.1  0.5,0.4  0.0,13.8  0.5,
11,Whole grain barley flour,1.3,12.0,5.3  0.1,2.9  0.3,2.8  0.5,11.0  0.3,
12,Spelt flour,1.9,12.0,7.4  0.0,1.9  0.1,1.2  0.1,10.5  0.2,-
13,Commercial,,,,,,,
14,Dark wheat flour,1.0,12.0,2.4  0.6,1.1  0.4,1.6  0.5,5.1  0.9,5.5
15,White wheat floura,0.4,12.5,1.4  0.4,1.3  0.4,0.8  0.3,3.5  0.8,-
16,White wheat flour,0.5,12.9,1.6  0.5,1.5  1.0,0.8 0.4,3.9  1.6,3.5
17,Wheat bran,6.5,7.3,40.3  0.4,2.0  0.9,2.4  0.3,44.7  1.7,37.5
18,Oat bran,2.7,6.8,8.4  0.1,6.1  0.5,0.3  0.0,14.8  0.5,17.5
19,Rye bran,3.7,7.0,21.9  0.2,4.4  0.3,5.7  0.3,32.0  0.7,39.0
