,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,Phenolic compounds (g/ g DW),Phenolic compounds (g/ g DW),,,,,,,,,,,,,,,,,,,,,,
1,,M1,,,,,,,M2,,,,,,,M3,,,,,,,AMb,
2,,RDI,,,Control,,,Ab,RDI,,,Control,,,Ab,RDI,,,Control,,,Ab,RDI,Control
3,p-Hydroxy,666.3,,0.0,816.0,,0.2,**,761.7,t,48.5,998.7,+,15.3,**,1060.6,,59.9,258.5,,30.8,**,***,***
4,p-Coumaric,358.1,+1+I+I+I,19.7,433.8,+,17.4,**,199.7,,19.9,261.5,I+I+I+I+I,5.4,**,215.5,++1+1+1,1.1,258.5,,9.6,***,***,***
5,Caffeic,274.7,+1+I+I+I,24.6,332.6,+I+I+L,24.9,*,256.5,+I+I+I,22.0,336.0,I+I+I+I+I,2.3,**,194.5,++1+1+1,2.2,233.3,+I+I+I,10.2,**,**,***
6,Chlorogenic acid,53.9,+1+I+I+I,4.8,65.3,+I+I+L,4.9,*,48.5,+I+I+I,2.9,63.6,I+I+I+I+I,1.2,***,53.0,++1+1+1,0.6,63.6,+I+I+I,2.8,**,*,ns
7,Gallic acid,176.6,+1+I+I+I,10.0,377.0,+I+I+L,9.0,***,173.8,+I+I+I,5.3,388.4,I+I+I+I+I,11.1,***,174.0,++1+1+1,3.7,208.7,+I+I+I,2.2,***,ns,*
8,Quercetin,311.0,,1.1,377.0,,6.9,***,296.3,+,20.0,388.4,,4.5,***,309.5,+1+i,2.0,371.2,,9.6,***,**,*
9,TPC,1840.6,,58.2,2238.6,,49.3,***,1736.4,+,11.8,2276.2,+,24.4,***,2007.2,+1+i,61.8,2406.0,+,3.5,***,**,***
