,0,1,2,3
0,,cultivation system,,p-value
1,examined,organic raspberry,conventional,cultivation
2,compounds,n=18Polka,raspberry(n=15,system
3,,CV.,Polka' cv.,
4,dry matter,13.00.5A2,13.60.4A,N.S.3
5,Vitamin C,30.22.9A,32.83.5A,N.S.
6,DHA,27.8  2.7A,30.43.4A,N.S.
7,L-ASC,2.4  0.2A,2.4  0.3A,N.S.
8,total organic acids,143072A,143071A,N.S.
9,malic acid,46.2 1.5B,55.4 0.8A,<0.0001
10,citric acid,138072A,137071A,N.S.
11,total sugars,9.7  0.5A,10.30.4A,N.S.
12,fructose,4.80.4A,5.50.4A,N.S.
13,glucose,1.40.1A,1.60.1A,N.S.
14,sucrose,3.50.3A,3.3  0.3A,N.S.
