,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,Sample,TAC(ABTS),,,TAC(FRAP),,,,TPH,,,,TF,,
1,,Water-,Water-,Water-,Water-,Water-,Water-,Water-,Water-,Water-,Water-,Water-,Water-,Water-,Water-
2,,soluble,insoluble,soluble+,soluble,solublea,insoluble,soluble+,soluble,solublea,insoluble,soluble+,soluble,insoluble,soluble+
3,,,,water-,,,,water-,,,,water-,,,water-
4,,,,insoluble,,,,insoluble,,,,insoluble,,,insoluble
5,A.Potatoes,,,,,,,,,,,,,,
6,Potato samples with corresponding chunos,Potato samples with corresponding chunos,Potato samples with corresponding chunos,,,,,,,,,,2.7 (0.5),,
7,p-way-1,2.1 (0.3),<0.01,2.1,6.7 (0.8),8.7 (1.7),0.2 (0.01),6.9,5.4 (0.3),5.7 (0.5),4.2 (0.8),9.6,2.7 (0.5),1.60.1),4.3
8,p-way-1,1.3 (0.1),<0.01,1.3,7.2 (0.5),7.3 (0.3),0.8 (0.01),8.0,4.7 (0.5),25.3 (0.5),8.5 (1.7),13.2,2.3 (0.5),1.3 (0.2),3.6
9,P-way-3,0.7 (0.1),<0.01,0.7,6.4 (1.3),12.6 (1.3),0.6 (0.01),7.0,13.1 (0.6),13.5 (2.8),8.5 (1.7),10.0,0.7 (0.1),2.3 (0.4),4.8
10,P-cap-7*,1.1(0.01,0.1(0.01,1.2,1.9 (0.1),6.9 (0.6),<0.01,1.9,13.1 (0.6),2.9 (0.7),0.3 (0.01),13.4,0.7 (0.1),0.4 (0.3),1.1
11,Typical chuno potato samples without corresponding chufios,Typical chuno potato samples without corresponding chufios,Typical chuno potato samples without corresponding chufios,Typical chuno potato samples without corresponding chufios,,,,,,,,,,,
12,P-kho-1,3.5 (0.1),1.7 (0.3),5.2,3.9 (0.5,6.2 (0.6),0.4 (0.01),4.2,21.1 (3.3),7.3 (2.3),6.6 (0.5),27.7,0.9 (0.03),2.5 (0.01),0.9
13,P-luk-2,1.1 (0.2),<0.01,1.1,5.0 (0.4),6.2 (0.6),0.4 (0.01),5.4,2.6 (0.5),4.3 (1.0),3.5 (0.7),6.1,1.0 (0.1),2.5 (0.01),3.5
14,P-roj-2,1.0 (0.2),<0.01,1.0,6.2 (0.6),9.4 (1.3),1.3 (0.5,7.5,2.1 (0.3),10.1 (2.2),12.7 (2.5),14.8,1.4(0.1,3.1 (0.6),4.5
15,p-luk-3,0.7 (0.1),<0.01,0.7,3.4 (0.4),10.4 (0.8),0.4 (0.01),3.8,2.0 (0.1),13.0 (2.7),10.8 (2.2),12.8,2.0 (0.3),1.4 (0.2),3.4
16,P-pal-5,0.7 (0.01),<0.01,0.6,4.6 (0.3),10.5 (1.5),0.1 (0.02),4.7,1.5 (0.04),11.8(1.6),2.2(0.4),11.1,1.3 (0.1),1.5 (0.3),4.3
17,P-pal-5,0.7 (0.01),<0.01,0.7,4.6 (0.3),10.5 (1.5),0.5 (0.02),4.7,1.5 (0.04),11.8(1.6),2.2(0.4),3.7,1.3 (0.1),1.5 (0.3),2.8
18,p-mal-5,0.9 (0.2),<0.01,0.9,4.2 (0.5),8.4 (0.7),0.5 (0.02),4.7,5.3 (1.1),7.6 (1.7),8.6 (1.7),13.9,2.7 (0.3),1.4 (0.2),4.1
19,P-cha-5,0.6(0.1),<0.01,0.6,3.7 (0.4),11.5 (2.2),0.5 (0.08),4.2,1.5 (0.1),7.4 (1.4),4.1(0.8),5.7,1.7 (0.2),0.8 (0.2),2.5
20,P-wil-5,0.9 (0.2),<0.01,0.9,6.0 (0.8),10.9 (1.0),0.8 (0.17),6.8,1.7 (0.1),7.2 (1.4),0.5 (0.1),5.5,1.4 (0.3),1.5 (0.2),3.5
21,P-que-7*,1.1 (0.2),1.6 (0.5,1.1,4.3 (0.5),13.0 (1.3),0.1(0.01,4.0,1.7 (0.1),14.8(2.1),0.6 (0.1),2.3,2.30.3),1.5 (0.2),3.8
22,P-que-7*,4.9 (0.1),1.6 (0.5,6.5,4.3 (0.5),10.1(0.9),0.4(0.01),4.7,NA,14.8(2.1),7.0 (0.7),7.0,1.6 (0.1),<0.01,1.6
23,Median,1.0,0.01,1.0,4.6,10.1,0.4,4.7,2.8,7.4,6.6,10.0,1.7,1.5,3.5
