,0,1,2,3,4,5,6,7,8,9,10,11,12
0,Food,%,,Sodiun,Median Meansdn,,Medi an Meansd(n,,Median Meansd(n,Median Meansd(n,,Median Mean sdn,Median Meanssd(n
1,"il,drained",63.9,31135811128,31135811128,31135811128,23623+3128,23623+3128,13,13427,13427,1691702627,1691702627,31.030.93.428
2,"frozen,heated 41.2","frozen,heated 41.2",500 50071(28,500 50071(28,500 50071(28,208208.3328,208208.3328,24,25527,25527,191843427,191843427,24.725.14.228
3,"Shrimp,fresh/",,,,,,,,,,,,24.725.14.228
4,fried,,,,,,122126S028,,,,,160 1683527,43.946.512.028
5,fried,59.0,2272357728,2272357728,2272357728,122126S028,122126S028,1111294327,1111294327,1111294327,160 1683527,160 1683527,43.946.512.028
6,Animal flesh._poultry,Animal flesh._poultry,,,,,,,,,,,
7,,65.1,82,81,9(28,272276+2628,272276+2628,14314327,14314327,14314327,1851902427,1851902427,24.724.32.628
8,Chicken breast,,,81,,,,,,,,,24.724.32.628
9,and drumstick,,,,,,,,,,,,
10,"breaded, fried 51.1","breaded, fried 51.1",81,821128,821128,3103093827,3103093827,17,211127,211127,205203+2127,205203+2127,27.227.3+2.628
11,"Turkey breast,",65.7,,,821128,,329335+3S28,,,,,2372372527,30.029.B2.628
12,baked,65.7,11714111528,11714111528,11714111528,329335+3S28,329335+3S28,,9427,9427,2372372527,2372372527,30.029.B2.628
13,,,,,,,,,,,,,
14,Grourd beef,,,,,,,,,,,,
15,fried,52.4,72,74,728,2952963028,2952963028,15,16427,16427,174171t927,174171t927,21.521.71.828
16,"Meat loaf,haked",,,,,,,,,,,1461451727),21.521.71.828
17,Beef chuck,63.9,363 366105(28),363 366105(28),363 366105(28),2912913328,2912913328,22,2615(27,2615(27,1461451727),1461451727),19.9 20.22.228
18,"roast,baked",57.8,69,70,1028,291,3014028,14,181927,181927,1801872327,1801872327,23.323.13.328
19,"steak, stewed",55.3,30,33,1228,196207328,196207328,9,10527,10527,1731712327,1731712327,21.421.43.22B
20,Beef Loin/,,,,,,,,,,,,
21,pan fried,56.0,64,651128,651128,3653596028),3653596028),16,213427,213427,2202162227,2202162227,27.126.56.028
22,"Veal cutlet,",56.0,,,,,,,,,,,27.126.56.028
23,fried,45.7,1191202328,1191202328,1191202328,32355628,32355628,21,21027,21027,2182222427,2182222427,26.627.03.628
24,fried,47.0,,,,,,70,,,,256261+2827,30.531.23.428
25,fried,47.0,79,78,9(27),4124075128,4124075128,70,743327,743327,256261+2827,256261+2827,30.531.23.428
26,baked,53.6,61,63,11(28,357,3543928,19,282827,282827,2222262627,2222262627,27.226.93.128
27,baked,65.5,1250 1270159(28,1250 1270159(28,1250 1270159(28,3002973628,3002973628,8,8227,8227,2782712827,2782712827,21.7 21.82.428
28,"""fried",44.3,92,92028,92028,351,33B3528,37,5048(27,5048(27,2162263227,2162263227,28.128.12.528
29,Beef/calf Liver.,,78,78,92028,352,,,,127,,44945335(27,23.9 24.02.528
30,fried,56.4,78,78,828,352,3463628,6,127,127,44945335(27,44945335(27,23.9 24.02.528
31,"Animal flesh, brekfast/iuncheon meat","Animal flesh, brekfast/iuncheon meat",,,,,,,,,,,
32,pan fried,43.6,89292111628,89292111628,89292111628,2692764428,2692764428,17,18,B27,15615621(27,15615621(27,19.63.028
33,pan fried,8.5,1470 148741528,1470 148741528,1470 148741528,274277+6928,274277+6928,10,1,327,271 2949627,271 2949627,20.9 20.14.528
34,boiled,,,,,,,,,,,,
35,boiled,51.7,74173311528,74173311528,74173311528,123201528,123201528,15,18827,18827,9B1042127,9B1042127,12.412.1.528
36,Bologna,53.9,,105510629128,105510629128,1741801628,1741801628,21,221027,221027,1261312827,1261312827,1.528
37,Salami,,,,,,1741801628,,,,,158161+3227,17.5 17.93.728
38,,37.4,1130118521728,1130118521728,1130118521728,2132244428,2132244428,24,251127,251127,158161+3227,158161+3227,17.5 17.93.728
39,Mixed dishes,,,,,,,,,,,,
40,"frozen,heated",42.9,,570 5678728,570 5678728,1931982528,1931982528,217214+4527,217214+4527,217214+4527,1882043727,1882043727,27.527.83.128
41,Macaroni and,,,,,,1931982528,,,,,,27.527.83.128
42,box mix,67.8,340 3357528,340 3357528,340 3357528,1121201928,1121201928,52,54,9(27),1071071927,1071071927,17.918.12.428
43,canned,80.8,347 3397528,347 3397528,347 3397528,103,992128,16,16427,16427,34,34727,11.211.23.128
44,"Lasagna,",71.0,166,1606528,1606528,191 1834328,191 1834328,23,23527,23527,59,601227,17.316.92.928
45,homemade,70.6,3984099528,3984099528,3984099528,2372304828,2372304828,121,1193327,1193327,1431473027,1431473027,21.422.64.128
46,hotanade,80.1,26023511328,26023511328,26023511328,2922305428,2922305428,17,19927,19927,81,792027,16.3 16.D 3.328
47,"/beans,",72.5,,,,,,,,,93,,
