,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0,No.1,Se.2 Component3,Se.2 Component3,Standard curve4,R2,Selected ion,concentration (ng g-1)6,concentration (ng g-1)6,,,,,,,,,,
1,,,,,,(m/z)5,,,,,,,,,,,,
2,,26,,,,,GS1,GS2,GS3,GS4,GS5,GS6,MS1,MS2,MS3,MS4,MS5,MS6
3,1,26,pentanal,y=5.3086x+0.0153,0.998486(57),0.998486(57),277.70,179.42,289.45,136.34,163.91,247.04,152.24,963.68,121.28,82.53,272.86,772.61
4,,,,,,,13.45 cd, 15.26e, 17.66c,9.84 f, 3.90ef, 16.48d,12.58ef, 48.26a,17.23fg,7.51, 13.63 cd, 29.60b
5,2,27,hexanal,y=7.2864x+0.0195,"0.9948 100(82,72)","0.9948 100(82,72)",2071.14,1509.23,1699.07,1470.47,1349.71,2742.04,997.90,4911.00,514.22,494.30,1168.47,4468.53
6,,,,,0.9931 114,, 45.89d, 78.64ef, 64.31e, 91.30ef,48.41g, 124.53c, 55.30 h, 272.34a, 45.33i, 40.10i, 28.378h, 202.45b
7,3,29,heptanal,y =2.7354x+ 0.0832,0.9931 114,0.9931 114,379.77,234.64,303.09,160.43,195.24,279.12,112.89,793.51,57.72,69.56,118.57,658.51
8,,,,,,"(96,70,44)", 21.63c,17.36 f, 18.59d,20.34 ,17.64 g, 12.47e,11.20h, 29.37a, 8.97i,4.65,9.10h, 32.43b
9,4,113,2-pentylfuran,y=0.9671x+0.0142,0.9989,"138(124,81)",154.32,52.69,203.75,125.12,93.01,142.87,20.09,64.39,24.39,14.39,11.95,77.97
10,,,,,,, 13.47b,7.53f, 11.92a,13.45c, 9.72d, 6.73bc,3.48, 7.31ef, 2.38 g,1.75, 2.09 , 7.08e
11,5,33,E-2-octenal,y=4.2574x+0.0123,0.999,"126(83,55)",617.56,332.17,492.03,240.78,290.06,641.47,601.98,1382.92,711.60,1199.17,1089.33,1141.65
12,,,,,,, 49.96e, 32.31 h,31.56 f, 28.63i, 16.33hi, 78.58de, 12.36e,93.95a, 20.63d,33.10b, 27.82c, 23.37bc
13,6,77,1-octen-3-one,y = 4.2534x+0.0473,0.9987,"99(57,43,72) 24.93","99(57,43,72) 24.93",99.09,202.58,231.81,345.52,337.77,,356.93,744.08,143.11,146.47,454.62
14,,,,,,,,,,,,,0,,,,,
15,,,,,,,2.33, 8.87 f, 5.32d, 4.65d,7.56c, 8.54c,,.28.67c,21.43a, 10.64e, 9.86e, 17.99b
16,7,36,"E,E-2,4-",y = 1.5482x+ 0.0324,0.9981,"110(81,53)",479.48,83.79,250.07,180.51,81.13,194.36,108.73,1410.16,131.71,305.33,105.80,1577.33
17,,,heptadienal,,,, 77.23c,10.53, 42.52de, 23.40ef, 9.88 g,11.87ef,9.12,102.15b, 6.34fg,19.42,10.43,55.41a
18,8,13,1-octen-3-ol,y =2.3472x+0.1205,"0.9973 128(57,72)","0.9973 128(57,72)",198.24,120.65,119.98,56.27,111.49,58.98,415.67,361.43,653.68,440.93,564.69,350.06
19,,,,,,,11.32e,4.25f,2.25 f,1.38 , 7.27 f,5.84 ,16.10c, 3.14d,17.17a,23.86c,12.04b, 23.35d
20,9,92,"E,E-3,5-",y = 3.2372x+ 0.0039,"0.9993 124(109,97)","0.9993 124(109,97)",83.65,48.01,33.20, 16.23a,222.95,101.30,245.50,538.02,0,152.47, 12.34e,263.63
21,,,octadien-2-one,,,,4.58h, 5.24i, 4.72, 16.23a,12.56d,15.22 g,9.86d,14.83a,,16.36 f, 12.34e, 9.34c
22,10,46,"E,E-2,4",y=4.0258x+0.01204,0.9981,152,408.06,784.40,357.35,343.87,558.51,604.76,54.08,84.40,96.46,202.56,222.39,133.02
23,,,decadienal,,,"81,67,41", 42.21c,36.25a,18.20 cd,17.34 cd,16.24 cd,10.56b,3.61e,6.25e, 9.64e,18.76de,29.51de,17.33e
24,No.1.,Se.2,Component3,,,Odor,OAV8,,,,,,,,,,,
25,,,,,,threshold in,,,,,,,,,,,,
26,,,,,,water (mg/,,,,,,,,,,,,
27,,,,,,kg)7,,,,,,,,,,,,
28,,,,,,,GS1,GS2,GS3,GS4,GS5,GS6,MS1,MS2,MS3,MS4,MS5,MS6
29,1,26,pentanal,,,0.012,23,15,24,11,14,21,13,80,10,7,23,64
30,2,27,hexanal,,,0.073,28,21,23,20,18,38,14,67,7,7,16,61
31,3,29,heptanal,,,0.0028,136,84,108,57,70,100,40,283,21,25,42,235
32,4,113,2-pentylfuran,,,0.0058,27,9,35,22,16,25,3,11,4,2,2,13
33,5,33,E-2-octenal,,,0.003,206,111,164,80,97,214,201,461,237,400,363,381
34,6,77,1-octen-3-one,,,0.0154,2078,8258,16882,19318,28793,28148,0,29744,62007,11926,12206,37885
35,7,36,"E,E-2,4",,,0.0154,31,5,16,12,5,13,7,92,,20,7,102
36,,,heptadienal,,,0.0015,,,,,,,,,,,,
37,8,13,1-octen-3-ol,,,0.0015,132,80,80,38,74,39,277,241,436,294,376,233
38,9,92,"E,E-3,5-",,,0.1,1,0,0,6,2,1,2,5,0,2,2,3
39,,,octadien-2-one,,,,,,,,,,,,,,,
40,10,46,"E,E-2,4-",,,0.000077,2550,4903,2233,2149,3491,3780,338,528,603,1266,1390,831
41,,,decadienal,,,,,,,,,,,,,,,
