,0,1,2,3,4
0,Food group,iAs,MMAs,DMAs,AsB
1,1,1085,81.016.0,91.54.1,96.40.9
2,2,1023,40.95.6,92.6  2.8,1015
3,3,1056,87.911.4,1067,96.54.8
4,4,99.04.0,99.6  2.5,95.6 2.7,90.57.3
5,5,1052,46.310.5,81.57.5,93.4 3.4
6,6,97.77.6,75.715.2,97.812.5,88.9  8.2
7,7,1043,47.236.7,86.812.3,88.09.6
8,8,12018,12.94.1,96.7 2.1,88.09.6
9,9,1099,99.810.8,98.8 9.9,1028
10,10,90.27.4,38.320.2,87.510.0,-2
11,11,94.23.9,13.90.7,78.87.5,1054
12,12,95.14.4,77.9 22.7,83.44.4,99.2  6.6
13,13,1178,17.8  4.8,89.2 7.2,94.39.0
14,14,1048,84.35.2,1017,98.9  8.4
