,0,1,2,3,4,5,6,7,8,9,10,11
0,,,,Purple-fleshed,,,Yellow-fleshed,,,White-fleshed,,
1,Peak No.,Compounds,Abbreviation,whole,,,whole,,,whole,,
2,,,,whole,peel,inner,whole,peel,inner,whole,peel,inner
3,Hydroxybenzoyl derivatives,Hydroxybenzoyl derivatives,,,,,,,,,,
4,,mono-Hydroxybenzoylquinic acids,,,,,,,,,,
5,22,3-O-p-hydroxybenzoylquinic acid (neonasipomic acid),3-pHbQA,0.550.02,3.210.13,0.210.01,0.030.00,0.030.00,ND,0.100.01,0.270.01,ND
6,22,3-O-vanilloylquinic acid (neodaripomic acid) ds,3-VQA,0.090.00,0.290.02,0.060.00,ND,ND,ND,ND,ND,ND
7,,5-O-p-hydroxybenzoylquinic acid (nasipomic acid),5-pHbQA,0.270.00,1.840.05,0.090.00,0.010.00,0.020.00,ND,0.030.00,0.120.00,ND
8,5a,4-O-p-hydroxybenzoylquinic acid (cryptonasipomic,4-pHbQA,1.670.04,12.630.39,0.540.01,0.060.00,0.200.01,00,0.250.00,0.930.02,0.060.00
9,,acid),,,,,,,,,,
10,6a,5-O-vanilloylquinic acid (daripomic acids,5-VQA,0.030.00,0.100.00,0.020.00,ND,ND,ND,ND,ND,ND
11,ga,4-O-vanilloylquinic acid (cryptodaripomic acid),4-VQA,0.110.00,0.490.02,0.080.00,0.010.00,0.030.00,ND,ND,0.010.00,ND
12,,,Sub total,2.720.06,18.560.61,1.000.02,0.110.00,0.280.01,ND,0.380.01,1.330.03,0.060.00
13,Hydroxycinnamoyl derivatives,Hydroxycinnamoyl derivatives,,,,,,,,,,
14,Caffeoyl derivatives,Caffeoyl derivatives,,,,,,,,,,
15,7,caffeic acid,CAs,2.720.02,13.560.13,1.050.00,12.940.03,75.300.18,0.830.01,5.060.01,21.930.05,0.800.00
16,10,6-O-caffeoyl-fructosyl(1-2glucoside,6-CFG,0.410.00,0.190.00,0.350.02,0.030.00,0.050.00,ND,1.480.03,1.940.04,0.210.02
17,,,Sub total,3.130.02,13.750.13,1.400.02,12.97,75.350.18,0.830.01,6.540.04,23.87,1.010.02
18,,,,,,,0.03,,,,0.09,
19,,mono-Hydroxycinnamoylquinic acids,,,,,,,,,,
20,3c,3-O-caffeoylquinic acid (neochlorogenic acid),3-CQA,0.790.04,0.520.03,0.650.03,0.300.02,0.650.02,0.080.00,0.140.00,0.220.00,0.050.00
21,9c,5-O-caffeoylquinic acid (chlorogenic acid),5-CQA,33.230.30,38.530.76,21.150.13,8.910.12,12.220.09,3.480.03,11.680.08,7.720.13,7.780.28
22,11c,4-O-caffeoylquinic acid (cryptochlorogenic acid),4-CQA,0.160.01,0.190.01,0.120.00,0.200.00,0.440.00,0.050.00,0.060.00,0.130.01,0.030.00
