,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,,,C12:0,C14:0,C16:0,C16:1,C17:0,C17:1,C18:0,C18:1n-9,C18:2n-6,C18:3n-3,C20:0,C20:1,C22:0,C24:0,SFA,MUFA,PUFA
1,Production site: Pantelleria,Production site: Pantelleria,Production site: Pantelleria,,,,,,,,,,,,,,,,
2,Capers,Min,1.51,1.12,34.1,1.18,0.269,1.46,5.25,17.7,7.29,9.59,0.185,0.283,0.366,0.261,45.5,22.3,18.3
3,,Max,2.58,2.15,44.2,2.77,0.822,2.51,6.87,28.1,12.6,12.9,0.46,0.930,0.931,0.745,55.0,32.7,24.1
4,,Mean,1.98,1.59,38.7,2.12,0.509,1.78,6.04,24.2,9.86,11.2,0.283,0.529,0.607,0.548,50.2,28.6,21.0
5,,Std,0.43,0.32,3.0,0.51,0.19,0.32,0.58,2.6,1.4,1.1,0.09,0.25,0.17,0.14,3.1,2.8,1.8
6,Caper berries,Min,1.28,0.083,32.2,2.31,0.119,0.235,2.48,24.6,9.79,8.75,0.138,0.332,0.087,0.169,41.3,28.5,18.9
7,,Max,2.81,3.04,43.2,3.33,0.611,0.982,4.24,33.1,14.2,11.2,0.858,0.572,0.461,0.990,53.5,37.3,25.1
8,,Mean,1.91,1.28,37.8,2.60,0.268,0.584,3.28,28.9,11.6,9.98,0.527,0.491,0.258,0.428,45.7,32.6,21.6
9,,Std,0.52,0.91,3.8,0.33,0.15,0.22,0.56,2.7,1.6,0.73,0.28,0.08,0.12,0.27,4.2,2.6,1.9
10,Production site: Lipari,Production site: Lipari,,,,,,,,,,,,,,,,,
11,Capers,Min,0.518,0.447,24.69,0.12,0.03,0.01,3.56,23.49,14.89,9.52,0.24,0.07,0.34,0.03,34.3,26.1,26.5
12,,Max,2.06,1.18,39.25,3.10,0.26,0.61,8.07,32.82,20.84,16.86,1.36,0.37,0.53,0.28,42.1,34.4,35.1
13,,Mean,1.18,0.768,28.5,1.43,0.164,0.307,6.42,28.6,17.8,13.1,0.790,0.188,0.442,0.166,38.5,30.5,30.9
14,,Std,0.46,0.21,4.7,0.75,0.07,0.18,0.88,1.9,1.7,1.8,0.35,0.09,0.07,0.09,2.8,2.4,2.5
15,Caper berries,Min,0.341,0.348,29.6,1.95,0.118,0.515,3.87,21.7,12.8,10.7,0.428,0.159,0.199,0.177,38.8,26.4,26.4
16,,Max,2.97,1.26,33.8,3.37,0.367,1.22,6.62,28.3,20.1,15.7,1.34,1.03,1.23,0.444,43.9,32.3,33.1
17,,Mean,2.10,0.81,31.9,2.64,0.247,0.840,5.13,24.9,15.6,13.2,0.841,0.596,0.757,0.330,42.1,28.9,28.8
18,,Std,0.74,0.35,1.3,0.48,0.08,0.21,0.86,2.1,2.1,1.5,0.28,0.28,0.34,0.08,1.6,1.7,2.1
19,Production site: Salina,Production site: Salina,,,,,,,,,,,,,,,,,
20,Capers,Min,0.418,0.363,35.1,2.29,0.038,0.117,2.42,20.9,14.4,8.56,0.283,0.234,0.196,0.098,42.2,23.9,23.8
21,,Max,2.52,1.12,43.6,3.72,0.291,0.482,4.15,28.0,20.1,11.4,0.516,0.479,0.570,0.332,49.9,31.8,29.3
22,,Mean,1.66,0.66,39.2,3.10,0.188,0.299,3.56,23.4,16.9,9.52,0.378,0.371,0.376,0.228,46.3,27.2,26.4
23,,Std,0.43,0.32,3.0,0.51,0.19,0.32,0.58,2.6,1.4,1.1,0.09,0.25,0.17,0.14,2.4,2.4,1.7
24,Caper berries,Min,1.35,0.44,29.62,2.73,0.11,0.46,3.53,25.37,10.02,6.96,0.52,0.42,0.11,0.23,40.9,30.1,18.8
25,,Max,3.85,3.83,35.37,5.61,0.21,1.56,7.68,29.22,13.67,19.61,1.04,1.69,0.37,0.51,48.2,34.7,29.6
26,,Mean,2.75,1.82,32.46,3.94,0.16,0.96,5.71,26.38,12.18,11.23,0.68,1.09,0.25,0.38,44.2,32.3,23.4
27,,Std,0.79,1.12,1.95,0.80,0.04,0.31,1.15,1.18,1.36,3.44,0.14,0.44,0.08,0.09,2.0,1.2,3.1
28,Unknown production site (Italy),Unknown production site (Italy),Unknown production site (Italy),,,,,,,,,,,,,,,,
29,Capers,Min,0.582,1.02,30.6,3.05,0.608,0.549,3.68,19.6,8.42,10.4,0.048,0.172,0.438,0.059,43.4,25.4,20.9
30,,Max,1.88,2.27,38.0,4.89,2.04,2.46,6.59,24.3,14.0,15.4,0.550,0.387,1.94,0.481,49.6,29.9,28.3
31,,Mean,1.23,1.44,35.5,3.93,1.38,1.47,5.25,22.3,12.0,13.4,0.336,0.275,1.170,0.209,46.5,28.0,25.4
32,,Std,0.39,0.41,2.7,0.65,0.42,0.60,0.94,1.5,1.6,1.5,0.15,0.08,0.45,0.14,2.1,1.5,2.2
33,Caper berries,Min,0.434,1.759,30.9,1.44,1.29,0.756,2.28,22.4,12.5,11.3,0.328,0.415,0.058,0.252,41.8,26.2,24.4
34,,Max,3.46,3.08,35.9,3.08,3.29,1.69,5.06,25.8,18.2,15.1,0.529,0.925,0.962,0.679,50.0,30.2,30.1
35,,Mean,1.68,2.24,33.5,2.07,2.28,1.18,3.93,24.0,14.1,12.8,0.420,0.593,0.546,0.471,45.1,27.9,26.9
36,,Std,1.0,0.45,1.5,0.52,0.69,0.32,0.84,1.2,1.7,1.2,0.07,0.17,0.28,0.15,2.6,1.2,1.8
