,0,1,2,3,4,5,6,7,8,9,10,11
0,Variables,Co,Cr,Cu,Mn,Mo,Ni,Sr,T1,U,v,Zn
1,Co,1,0.470,0.821,0.905,0.753,0.812,0.870,0.294,0.303,0.366,0.812
2,Cr,,1,0.013,0.195,0.025,0.094,0.259,0.325,0.926,0.942,0.089
3,Cu,,,1,0.904,0.774,0.835,0.812,0.107,0.217,-0.141,0.878
4,Mn,,,,1,0.834,0.929,0.875,0.293,0.017,0.036,0.963
5,Mo,,,,,1,0.731,0.900,0.103,-0.119,0.074,0.737
6,Ni,,,,,,1,0.779,0.287,0.106,0.062,0.947
7,Sr,,,,,,,1,0.028,0.126,0.166,0.742
8,TI,,,,,,,,1,0.262,0.291,0.391
9,U,,,,,,,,,1,0.992,-0.145
10,V,,,,,,,,,,1,-0.089
11,Zn,,,,,,,,,,,1
