,0,1,2,3
0,,Total,,
1,,Dietary Fiber,Phytic Acia,Phytic Acia
2,,%,mg/100 q,mg/100 q
3,,,X+S.D,
4,Ingredients:a,,,
5,White Wheat Bran,460,4600+100,4600+100
6,Wnite Wheat DOGS,56,3100+200,3100+200
7,Barley BSG,45,2200+20,2200+20
8,Soy Fiber,80,3000+250,3000+250
9,Oat Fider,87,600+100,600+100
10,BreaaFlour,3,30+,9
11,Breaas:,,,
12,Control,3+1.6c,9+,1.9
13,White wneat Bran,12+1.6,24+,4
14,Wh ite Wheat DDGS,13.6+0.8,14+,8
15,Barley bSG,14+2.2,14+,8
16,Soy Fiber,14.8+0.3,8+,5.9
17,Oat Fioer,12.5+0.8,27,2
