,0,1
0,Analyses,Method
1,Water,Association of Official Analytical Chemists (2005 method 950.46
2,Ash,Association of Official Analytical Chemists (2005 method 920.153
3,Protein,International Dairy Foundation Standard 20B (1993)
4,Fat,International Dairy Foundation Standard 20B(1996
5,Energy,Bomb calorimeter to calculate
6,Minerals,"Ion chromatography (Dionex System 20001, 1988)"
7,Water-soluble vitamins,"High performance liquid chromatography (Fellman et al., 1992)"
8,Fatty acid profile,"Gas chromatography (Christopherson and Glass, 1969)"
9,Cholesterol,"Gas chromatography (Smuts et al., 1992)"
