,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0,,,,,,,101010,,,,,,,,,,,
1,2,1080,,I'0+9'0,,,14141,011,,,1001,090,,14141,,,,0
2,,,,,,,,,,,,090,,,,11111,,
3,,11442,21447,21002,09,06,,,,101110,,,,,6F008,088,,
4,Rb,,,,,,,,,,,,,,,,,
5,uz,,,,,,,,,,,1440,,,,,,
6,,11111,,117,,111,,,,,,,,11111,008,8+,,+
7,3,11111,,117,,111,,,,,,,,11111,008,09,,06
8,,,,,,,,,,,10105,,,,,,,
9,8,,,,,,1001,,060,,,,,,,,,
10,,,009,,,30000,06060,,,144440,,80000,,,,OVVFOLO'6,,
11,,,,,H,,,,,,,,1110,,,,,411470
12,Mn,,140,,13,,,,,,,,1110,,,,,411470
13,ca,,,,,101000,,,,,,,,,,,,
14,,,Pepr,,Apppe,Crppe,Cpppe,,,Crppe,Crppe,Peeah,Crppe,,Peae,,Crppre,Cruaa
