,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
0,,,,,,,,+,,,866,,,,,,,,,,,,,,,
1,,,,,9,,,,02,,866,,,,,,,,,,,,,,,
2,s-us,,,,,,,,,,1000,60-,90 ,60-,I0,,2,,60,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,7-us,,,,,252
4,,,,,,,,11'2,112,02,,,,,,,,,,,,,,,,
5,,,,,,+,,+,,+,,,,,,,,,,,,,,,,
6,,,,,,+,,,,+,666,,,,,,,,,,,,,,,
7,,,,02,,,,5'0,02,+,000,,,,,,,,,,,,,,,0008
8,s-us,90,,,,,,,,,000,60,,11,02,0,,,60,,,,,,,
9,,,,,,,,,,112,,,,,,,,,,,E'I-1s,pSI'0 F0'9I,,,,
10,,,,,,0t,,+,I0,6,000,,,,,,,,,,,,,,,
11,,,,,,0,,88,I,,666,,,,,,,,,,s-us,+1,+1,+,,
12,7-us,,34,2,,,,,,,8'66,6'0,,,,,,,60-,,,,,,,
13,,,,,,,,,,,,,,,,,,,,,,,,,04,
14,,,,,,,242,80,10'2,123,,,,,,,,,,,,,,,,
15,,,,,+,,,+,+,+,,,,,,,,,,,,,,,,
16,,,,,3,,,,I0,,6'66,,,,,,,,,,,,,,,
17,,,,(VOS) 8-U:8I,220,,220,,,,,V0:9,,VS08,,,,200,,220,,04,,VS081,,
