,0,1,2,3,4,5,6,7
0,Samples,Na mg/kga,K mg/kga,,Ca mg/kga,Mg mg/kga,P mg/kga,
1,DC1,88118,11100100,,779 11,14406,188021,188021
2,DC3,55907,12700 20,,118  8,1250  2,1770  14,1770  14
3,DC3,1831,1100070,,884  9,15903,2300  2,2300  2
4,DC4,1132,4950100,,5499,8554,1600 14,1600 14
5,DC5,386010,10700300,,919  12,11605,1560  10,1560  10
6,DC6,872,10000400,,75510,1610  9,304021,304021
7,DC7,59 1,8900300,,640  13,1520  32,10,10
8,DC8,812,8120  170,,660  8,1420  15,2640 ,19
9,DC9,43  1,7200  35,,626  3,14605,2780  14,2780  14
10,DC10,3427,9080  70,,669  9,155010,3030  28,3030  28
11,Samples,Zn (mg/kg)a,Fe (mg/kg)a,Se (mg/kg)a,Se (mg/kg)a,Cu (mg/kg)a,Mo (mg/kg)a,
12,DC1,21.70.1,127  2,0.1460.003,0.1460.003,13.9  0.4,1.210.02,
13,DC2,18.8 0.1,211  7,0.23  0.01,0.23  0.01,12.20.1,0.30  0.01,
14,DC3,23.3  0.3,1371,n.d.b,,15.80.1,0.316  0.008,0.316  0.008
15,DC4,16.3  0.1,172  3,0.160.01,0.160.01,9.5 0.1,0.1040.007,0.1040.007
16,DC5,20.1  0.1,1794,0.250.01,0.250.01,10.5  0.3,0.1580.008,0.1580.008
17,DC6,27.0  0.1,51.4  0.3,0.190.01,0.190.01,17.7  0.1,0.194  0.008,0.194  0.008
18,DC7,26.5  0.1,51.5  0.7,0.170.01,0.170.01,15.40.2,0.180.01,
19,DC8,23.9  0.1,49.0  0.4,n.d.,,15.6  0.1,0.1110.007,0.1110.007
20,DC9,26.8  0.1,47.0  0.2,n.d.,,15.3  0.1,0.170.01,
21,DC10,28.90.1,37.8 0.2,n.d.,,16.2  0.2,0.1350.007,0.1350.007
22,Samples,Mn (mg/kg)a,Ni (mg/kg)a,,V (mg/kg)a,Si (mg/kg)a,Cr (mg/kg)a,Cr (mg/kg)a
23,DC1,14.5  0.03,3.80  0.01,,8.30  0.06,75.1  0.3,1.17  0.02,1.17  0.02
24,DC2,15.0  0.04,5.90  0.03,,15.60.06,219 1,1.69  0.01,1.69  0.01
25,DC3,16.2  0.1,4.80  0.03,,3.50  0.01,721,1.56 0.01,1.56 0.01
26,DC5,7.90  0.03,2.90  0.01,,6.30  0.02,8.2  0.1,0.23  0.01,0.23  0.01
27,DC5,13.60.03,3.40 0.01,,7.300.04,149  1,1.36  0.01,1.36  0.01
28,DC6,14.2  0.08,2.29  0.02,,4.40  0.04,15.4  0.2,0.86  0.03,0.86  0.03
29,DC7,13.10.2,2.33 0.01,,4.02  0.04,11.30.1,0.740.02,0.740.02
30,DC8,13.2  0.07,2.26  0.01,,3.81  0.03,13.8  0.3,0.55  0.01,0.55  0.01
31,DC9,11.0  0.04,1.90  0.01,,3.84  0.04,9.6  0.1,0.81  0.04,0.81  0.04
32,DC10,14.9  0.1,2.56  0.02,,4.150.07,8.90.1,0.700.04,0.700.04
33,Sample,Li (mg/kg)a,Sr (mg/kg)a,Al (mg/kg)a,Al (mg/kg)a,Sn (mg/kg)a,Cd (mg/kg)a,
34,DC1,8.19  0.01,7.40  0.01,71.3  0.1,71.3  0.1,0.46  0.03,0.030  0.002,0.030  0.002
35,DC2,2.02 0.02,6.60  0.05,112 1,112 1,1.48  0.04,0.025  0.001,0.025  0.001
36,DC3,1.450.02,7.90  0.05,68.7  0.6,68.7  0.6,0.86  0.01,0.0470.003,0.0470.003
37,DC4,0.3920.002,4.20  0.01,7.2  0.1,7.2  0.1,<LOQ,0.044  0.003,0.044  0.003
38,DC5,1.58  0.02,6.50 0.06,,97.6  0.3,2.13 0.07,0.0220.001,0.0220.001
39,DC6,n.d.,7.11  0.04,29.9  0.2,29.9  0.2,0.42  0.02,0.194  0.003,0.194  0.003
40,DC7,n.d.,5.90  0.07,,20.9  0.3,0.47  0.01,0.2420.003,0.2420.003
41,DC8,n.d.,6.01  0.05,28.10.2,28.10.2,<LOQ,0.0850.005,0.0850.005
42,DC9,n.d.,6.48  0.07,17.0  0.1,17.0  0.1,0.37  0.02, 0.002, 0.002
43,DC10,1.23  0.02,6.48  0.07,12.5  0.1,12.5  0.1,0.46  0.02,0.178  0.003,0.178  0.003
44,Sample,Ba (mg/kg)a,Pb (mg/kg)a,Sb (mg/kg)a,Sb (mg/kg)a,Co(mg/kga,Bmg/kga,
45,DC1,5.60  0.04,0.60  0.02,14.0  0.2,14.0  0.2,0.2880.003,8.300.01,8.300.01
46,DC2,4.50  0.03,0.86  0.01,4.6  0.4,4.6  0.4,0.302  0.002,9.30  0.04,9.30  0.04
47,DC3,5.800.05,0.250.02,13.3  0.2,13.3  0.2,0.4570.005,8.20  0.08,8.20  0.08
48,DC4,2.90  0.01,0.30  0.02,1.500.02,1.500.02,0.154  0.002,4.50  0.01,4.50  0.01
49,DC5,4.30  0.04,0.46  0.04,22.9  0.2,22.9  0.2,0.047  0.002,9.20  0.02,9.20  0.02
50,DC6,6.85  0.07,0.610.03,4.7 0.1,4.7 0.1,0.307  0.005,6.85  0.07,6.85  0.07
51,DC7,6.08  0.09,0.60  0.05,0.400.02,0.400.02,0.339  0.003,6.08  0.09,6.08  0.09
52,DC8,5.96  0.04,0.46  0.04,0.330.01,0.330.01,0.256  0.008,5.960.04,5.960.04
53,DC9,6.05  0.04,0.60  0.04,0.25  0.02,0.25  0.02,0.273  0.008,6.05  0.04,6.05  0.04
54,DC10,5.670.03,0.61  0.04,0.35  0.01,0.35  0.01,0.276 0.002,5.67  0.03,5.67  0.03
