,0,1,2,3,4,5
0,Amino acid,R2,LOD (g/mL),LOQ(g/mL),RSD(mg/g),CV (%)
1,Asp,0.9995,0.51,1.76,0.15,1.77
2,Glu,0.9997,0.45,1.56,0.26,2.57
3,Asn,0.9994,0.39,1.35,0.11,2.94
4,GIn,0.9996,0.35,1.22,0.16,3.43
5,Ser,0.9995,0.23,0.83,0.15,4.07
6,Arg,0.9998,0.35,1.24,0.10,5.66
7,Gly,0.9990,0.08,0.32,0.01,6.34
8,Thr,0.9995,0.39,1.36,0.06,4.54
9,Ala,0.9999,0.10,0.37,0.09,3.61
10,Thea,0.9995,0.53,1.85,2.05,5.62
11,Pro,0.9996,0.06,0.23,0.16,6.64
12,GABA,0.9997,0.14,0.53,0.08,4.27
13,Val,0.9999,0.12,0.49,0.18,10.67
14,Ile,0.9994,0.34,1.18,0.18,1.77
15,Leu,0.9995,0.16,0.61,0.05,3.89
16,Phe,0.9994,0.10,0.36,0.15,5.58
17,Trp,0.9995,0.07,0.29,0.04,4.39
18,His,0.9992,0.17,0.62,0.10,14.43
19,Lys,0.9993,0.27,0.95,0.13,10.44
