,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0,,Tiamin (%),,Riboflavin (%),Riboflavin (%),Niacin,Vit C (%),,,Pyridoxine,Retinol Equivalent (%),Retinol Equivalent (%),Vit E (%),,Vit D,Vit K,Vit B12
1,,,,,,(%),,,,(%),,,,,(%),(%),(%)
2,DRVsa,Male,Female,Male,Female,18 mg,Male,Female,,1.3 mg,Male,Female,Male,Female,15 mcg,140 mcg,2.4 mcg
3,,1.2 mg,1.1 mg,1.6 mg,1.3 mg,,105 mg,85 mg,,,700 mg, 600 mg,13mg,12 mg,,,
4,Fiadone,1,1,3,3,1,0,0,,2,4,5,3,3,1,,7
5, Anellini alla pecorara,19,21,24,29,14,47,58,,37,58,67,56,60,5,19,33
6,Brodo di cardone con,17,18,11,14,8,3,4,,17,15,18,13,14,4,29,22
7,stracciatella e pizza rustica,,,,,,,,,,,,,,,,
8,Pan cotto,26,28,18,22,33,51,63,,6,45,53,26,28,2,13,84
9,Pasta alla mugnaia,26,28,18,22,33,51,63,,65,45,53,26,28,3217,122,84
10, Pizza e fuje,9,22,21,25,7,38,47,,20,63,74,20,43,3217,122,25
11, Pizza e fuje,20,22,8,10,10,33,40,,9,15,18,40,43,3217,93,2
12,Spaghetti alla chitarra con,18,19,21,26,22,10,12,,34,24,28,24,26,3217,10,75
13,pallottine,,,,,,,,,,,,,,9,,
14,Agnello cacio e ove,26,28,43,52,60,nc,,,46,16,19,21,23,9,,237
15,Baccala' con patate e cipolle,17,18,24,29,36,32,40,,68,39,12,41,44,0,,46
16,Brodetto alla vastese,12,13,9,12,32,60,74,,57,39,46,34,37,2,13,366
17,Pallotte cacio e ove,8,9,28,35,7,138,24,,18,44,52,56,61,6,13,59
18,Ciabotta,22,24,15,18,26,138,170,,72,67,78,33,36,0,26,0
19,Ferratelle,6,6,4,5,,nc,nc,,5,7,8,30,32,2,3,5
20,Ferratelle,2,2,3,3,1,nc,nc,,3,4,5,9,10,2,2,7
21,Pizza doce,6,6,9,11,4,0,0,,5,16,19,5,5,24,3,18
22,Pizza doce,5,5,9,11,2,1,1,,5,16,19,5,5,24,1,18
