,0,1,2,3,4
0,,Botanic familya,Vegetable members,Vegetable members,#
1,b,Amaryllis(Amaryllidaceae),"Garlic,leek,onionscallion","Garlic,leek,onionscallion",
2,,Sunflower(Asteraceae/Compositae),,"Artichoke,endive, Jerusalem artichoke,lettuce (butterhead,iceberg,green leaf,red leaf,romaine",8
3,b,Goosefoot(Chenopodiaceae),"Beet and beet greens,spinach,Swiss chard","Beet and beet greens,spinach,Swiss chard",
4,,Morning glory(Convolvulaceae),Sweet potato,Sweet potato,1
5,b,Cabbage(Cruciferae/Brassica),,"Broccoli, broccoli raab, Brussels sprouts, cabbage (green, red, cauliflower, Chinese broccoli, Chinese",16
6,,,,"cabbage, collards, kale,mustard greens,radish, rutabaga,turnip and turnip greens,watercress",
7,b,Gourd (Cucurbitaceae),,"Butternut squash,crookneck/straightneck squash, cucumber,hubbard squash,pumpkin,zucchini",
8,,Fungi,Mushrooms,Mushrooms,1
9,,(Gramineae/Poaceae),Sweet corn,Sweet corn,1
10,,Laurel(Lauraceae),Avocado,,
11,0b,Legume (Leguminosae),,"Blackeye peas,green peas,jicama, kidney beans,lentils,lima beans,mung beans,navy beans,pigeon",13
12,,,"peas, pinto beans, green snap beans, snowpeas, soybeans","peas, pinto beans, green snap beans, snowpeas, soybeans",
13,11,Asparagus(Liliaceae),Asparagus,Asparagus,
14,2,Mallow/cotton (Malvaceae),Okra,,1
15,13,(Portulacacea),Rhubarb,,1
16,4b,Nightshare(Solanaceae),"Eggplant, sweet green pepper, sweet red pepper,potato, tomato,","Eggplant, sweet green pepper, sweet red pepper,potato, tomato,",5
17,15b,Carrot/parsley (Umbelliferae),"Carrot,celery,parsley,parsnip","Carrot,celery,parsley,parsnip",V
18,,,,,67
