,0,1,2,3,4,5,6,7,8
0,,,,Available Nutrient,Available Nutrient,Available Nutrient,Excess of WPRDI (%),Excess of WPRDI (%),Excess of WPRDI (%)
1,,Nutrient,,,1983-84,,,1983-84,
2,,,,Previous,,Revised,Previous,,Revised
3,Protein,,,,,,,,
4,Animal,,g,61.7,,61.3,,,
5,Vegetable,,g,34.6,,35.9,,,
6,Total**,,g,96.3,,97.2,113,,115
7,Fat,,,,,,,,
8,Animal,,g,93.6,,68.4,,,
9,Vegetable,,g,51.5,,50.4,,,
10,Total**,,g,145.0,,119.0,,,
11,Carbohydrate,Carbohydrate,,,,,,,
12,Refined sugars,Refined sugars,g,126.4,,126.8,,,
13,Other carbohydrates,Other carbohydrates,g,279.1,,248.6,,,
14,Total**,,g,406.0,,375.0,,,
15,Alcohol,,,21.8,,20.2,,,
16,Minerals,,,,,,,,
17,Calcium**,,mg,910,,860,8,,2
18,Iron,,mg,14.9,,12.4,62,,35
19,Vitamins,,,,,,,,
20,Retinol activity* *,Retinol activity* *,ug,1420,,2630,108,,286
21,Vitamin C,,mg,94,,108,176,,213
22,Thiamin,,mg,1.58,,1.45,78,,63
23,Riboflavin,,mg,2.56,,2.41,87,,76
24,Niacin equivalents,Niacin equivalents,mg,38.9,,38.3,154,,150
25,Energy**,,kJ,4400,,13000,52,,37
