,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,Honey type,,Major elements,Major elements,Major elements,Major elements,,,,Trace elements,Trace elements,Trace elements,,,,,,,
1,,,C1,,K,,Mg,Mn,Na,Cd,Co,Cu,F,Fe,,Ni,Pb,Sr,Zn
2,Sesame honey,M,1030,1030,1500,1500,102,1.70,378,0.50,1.75,1.70,12.5,202,0.74,1.25,6.3,0.50,7.20
3,,SD,,36,,350,2,0.25,20,0.00,0.350.35,0.350.35,0.90,22,0.35,0.351,0.351,0.0,0.38
4,Orange honey,M,,722,,528,225,0.50,412 0.01 1.75 1.0,412 0.01 1.75 1.0,412 0.01 1.75 1.0,412 0.01 1.75 1.0,4.8,80,0.87,1.7,5.7,0.50,5.0
5,,SD,,40,,38,9,1.0,80 0.10 0.35 0.0,80 0.10 0.35 0.0,80 0.10 0.35 0.0,80 0.10 0.35 0.0,1.8,17,0.10,0.25,0.25,0.1,1.0
6,Clover honey,M,11800,11800,,213,300,0.50,4780.01 2.5,4780.01 2.5,4780.01 2.5,1.75,12.4,58,0.62,4.1,4.2,3.2,9.3
7,,SD,110,110,,17,51,1,30 0.10 0.70 0.35,30 0.10 0.70 0.35,30 0.10 0.70 0.35,30 0.10 0.70 0.35,2.0,4.0,0.3,0.36,0.35,0.26,0.50
8,Syrup-feed honey M,Syrup-feed honey M,36800 15550,36800 15550,36800 15550,36800 15550,1325 5.7,1325 5.7,2550 0.50 3.2,2550 0.50 3.2,2550 0.50 3.2,1.0,5.2,3690,0.69,3.0,9.3,0.50,7.0
9,,SD,,300,,261,66 0.35,66 0.35,229 0.00 0.40 0.0,229 0.00 0.40 0.0,229 0.00 0.40 0.0,229 0.00 0.40 0.0,1.0,79,0.12,0.0,1.0,1.0,1.0
