,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,Compounds (g/L),White wines,,,,,,,,,,,,,
1,,R(E),,AV(E),,,RO(E),RO(E),,,Pr(E),,,A(E),
2,,1997,1998,1997,1998,1998,1997,,1998,,1997,,1998,1997,1998
3,Vitispiranes,61.3,54.2,67.0,29.0,29.0,9.8,,7.0,,13.8,,22.6,112.6,58.5
4,Riesling acetale,29.5,40.5,32.9,15.1,15.1,9.8,,8.4,,12.2,,23.3,76.9,12.7
5,TDN,39.9,36.1,26.8,7.2,,11.2,,2.8,,15.8,,4.5,21.5,10.9
6,-damascenone,5.5,3.6,30.2,1.5,,nd,,2.1,,nd,nd,nd,28.6,3.6
7,Actinidol 1,7.4,nd,40.2,15.7,15.7,27.7,,20.2,,6.1,9.1,9.1,119.8,28.4
8,Actinidol 2,11.1,16.6,66.1,14.5,14.5,39.0,,22.3,,12.2,9.7,9.7,159.1,38.6
9,Total,154.7,151,263.2,83,,97.5,,62.8,,60.1,,69.2,518.5,152.
10,,R(P),,(RB),,R(Rd),,,,R(Rg),R(Rg),,,R(V),
11,,1997,1998,1997,,1997,,1998,,1997,,1998,1998,1997,1998
12,Vitispiranes,52.3,24.0,100.1,,109.9,,8.0,,96.7,,15.0,15.0,39.5,12.8
13,Riesling acetale,26.8,12.7,94.6,,44.3,,11.8,,61.2,,9.0,9.0,24.1,16.0
14,TDN,11.1,10.4,54.8,,92.5,,3.7,,75.7,,3.6,,18.3,9.6
15,-damascenone,8.1,3.2,11.0,,19.3,,3.1,,3.2,,1.8,1.8,3.9,1.9
16,Actinidol 1,40.4,10.1,53.5,,50.0,,9.9,,17.5,,8.4,8.4,10.6,10.3
17,Actinidol 2,51.6,9.5,65.8,,nd,,8.7,,25.0,,6.0,,14.5,9.6
18,Total,190.3,69.9,379.8,,316,,45.2,,279.3,,43.8,43.8,110.9,60.2
