,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0,090,,,90,,,120,,,,,g00,,000,0,qe00F,qe00F,qe80F
1,090,,,,,+1,+,,,,,+,,+1,+,,qe00F,qe80F
2,,,L0,,,,,,,12,,,,,,,,
3,,,,q0I'0F,,q 06'0F,,q 0Z'IF,q OE'0 F 0I'9,,,,qe9'8+,,+I,,,80
4,,III,008,08'9,,,17,500,q OE'0 F 0I'9,,98,,,14,,842,842,
5,,8040,q6I,q8`0F,,20,277,9,qb'9 F O'II,,,,,5003,q06I,q0t'ZF 40'S,q0t'ZF 40'S,qb9'0 F 6I'S
6,qe9'ZF Z'LI,,10,,,,13,,,,,,,I0,10,,,000600
7,qe9'ZF Z'LI,+1,+1,+1,+1,+1,+1,+1,,,,+,,+1,+,,,000600
8,qe9'ZF Z'LI,14,,,607,228,,212,,,890,05.7,,050,,020,,000600
9,q8,+1,,+,,+1,+,+I,pp L`8Z F Z,p000,p000,,,+,+,+,p 0b'0F,qI0F
10,122,,,5,,22,,,,,19,,,,1IT,,,11
11,,,8'0,,98,,p0'01,p0bFt,3q L'S F 6'IZ,xqOZ'O F 6I'8,qe0b0,90,408,,q090,q8'0F,,
12,,,+,+,+,,,p0bFt,3q L'S F 6'IZ,xqOZ'O F 6I'8,qe0b0,90,408,,q090,q8'0F,,
13,,104,344,781,220,06,,204,3q L'S F 6'IZ,xqOZ'O F 6I'8,,,,,228,314,,
14,,,,,,+1,+,,,,,0,,10,010,000,010,
15,101,,,,,919,,604,,111,,,00',,,,18,
