,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
0,Entry,Fe,Fe,Ca,,Ca,,Mg,,Mg,,Zn,,Cu,Cu,Mn,Mn,Se,Se,Na,K,,K,,P,,P,
1,,2011,2012,2011,,2012,,2011,,2012,,2011,2012,2011,2012,2011,2012,2011,2012,2011,2011,,2012,,2011,,2012,2012
2,BARI Mung 2,3gabe,,1450ab,1450ab,,,1510bc,1510bc,,,62a,,8.7abc,,10.gb,,0.35a,,117a,9790a,9790a,,,3494c,3494c,,
3,BARI Mung 4,,81ab,,,1190a,1190a,,,1380abc,1380abc,,30abe,,11.6ab,,18.ga,,0.33ef,,,,"12,900abc","12,900abc",,,3160fgh,3160fgh
4,CO5,,54c,,,850efg,850efg,,,1410a,1410a,,34a,,11.6b-e,,15.9b,,0.37e,,,,"14,100a","14,100a",,,3420efg,3420efg
5,CO6,,41f,,,720hij,720hij,,,1280a-f,1280a-f,,2gbed,,10.2a-d,,12.3d-g,,0.37e,,,,"11,800b-e","11,800b-e",,,3080fgh,3080fgh
6,IPM 205-7,,75b,,,950cde,950cde,,,1300a-e,1300a-e,,31ab,,10.gb-e,,16.7b,,0.4de,,,,"13,000abc","13,000abc",,,3870cde,3870cde
7,IPM 99-125,,39f,,,630i,630i,,,1050gh,1050gh,,28b-e,,10.4efg,,11.5efg,,0.34er,,,,"11,500cde","11,500cde",,,,276oh
8,ML 1628,,52ca,,,1070abc,1070abc,,,1260a-g,1260a-g,,31ab,,11.4cde,,15.3bc,,0.90a,,,,"13,700ab","13,700ab",,,4770ab,4770ab
9,ML 818,,51cde,,,1030bed,1030bed,,,1290a-f,1290a-f,,28b-e,,10.0,,13.6cd,,0.91a,,,,"13,200abe:","13,200abe:",,,4580ab,4580ab
10,PAU 911,,45c-f,,,930der,930der,,,1130e-h,1130e-h,,31ab,,10.7cde,,13.1def,,0.88a,,,,"12,500abc","12,500abc",,,,4560b
11,PDM 139,,45def,,,820fgh,820fgh,,,1210a-g,1210a-g,,26c-f,,10.1,,12.8d-g,,0.35ef,,,,"10,600de","10,600de",,,2820h,2820h
12,VBNG 9-3,,42f,,,720hij,720hij,,,1220a-g,1220a-g,,27b-e,,9.ghi,,13.3de,,0.33er,,,,"11,900b-e","11,900b-e",,,2840gh,2840gh
13,VC 6173B,,43ef,,,650,650,,,1100e-h,1100e-h,,22g,,7.ge-h,,12.2d-g,,0.52bc,,,,"13,200abc","13,200abc",,,4890ab,4890ab
14,BU Mug 1,42ab,43ef,1250bc,1250bc,770ghi,770ghi,1480cd,1480cd,1180b-h,1180b-h,44a,24efg,8.2b-e,9.3a,10.4bcd,11.2fg,0.39a,0.65b,116a,9780a,9780a,"13,400ab","13,400ab",3710ab,3710ab,,5170a
15,CN 9-5,40ab,87a,1280bc,1280bc,930der,930der,1510bc,1510bc,1120e-h,1120e-h,41a,31ab,8.8ab,11.9ab,10.3bcd,16.9b,0.37a,0.25fg,119a,9800a,9800a,"13,500ab","13,500ab",3730ab,3730ab,3480ef,3480ef
16,Harsha,43a,81ab,1580a,1580a,1120ab,1120ab,1700a,1700a,1170c-h,1170c-h,44a,27b-e,8.7a-d,10.ga-d,12.1a,19.6a,0.40a,0.21g,134a,"10,100a","10,100a","12,800abc","12,800abc",3620abc,3620abc,3000fgh,3000fgh
17,KPS1,39abe,42f,1380abc,1380abc,840e-h,840e-h,1470cd,1470cd,1350a-d,1350a-d,57a,28b-e,9.0a,9.3f-i,10.0bcd,11.0g,0.35a,0.62bc,129,"10,000a","10,000a","12,100bcd","12,100bcd",3770a,3770a,4420bc,4420bc
18,KPS 2,35c,47c-f,1360abc,1360abc,990cd,990cd,1500c,1500c,1400ab,1400ab,53a,31ab,8.2b-e,8.4abc,9.8d,12.4efg,0.35a,0.61bc,111a,9830a,9830a,"12,400a-d","12,400a-d",3570bc,3570bc,4450bc,4450bc
19,NM 92,41ab,41f,1230bc,1230bc,780gh,780gh,1560b,1560b,1270a-g,1270a-g,55a,29bca,7.9de,7.5d-g,10.6bc,11.3efg,0.56a,0.51cd,124a,"10,100a","10,100a","10,200ef","10,200ef",3640abc,3640abc,3830de,3830de
20,NM 94,3gabc,43er,1190c,1190c,750g-j,750g-j,1430d,1430d,1140d-h,1140d-h,39a,30abc,8.3b-e,9.7ghi,9.gcd,12.1d-g,0.60a,0.40de,130a,9960a,9960a,"12,000b-e","12,000b-e",3450c,3450c,3580ef,3580ef
21,Pant Mung 5,39abe:,47c-f,1200c,1200c,650u,650u,1430d,1430d,1070fgh,1070fgh,34a,21g,8.1cde,8.3a-e,10.2bcd,11.4efg,0.37a,0.53c,116a,9690a,9690a,"12,600abc","12,600abc",3530bc,3530bc,4690ab,4690ab
22,Tainan,37bc,40f,1450ab,1450ab,7608hi,7608hi,1450cd,1450cd,970h,970h,41a,24d-g,7.ge,7.7def,10.3bed,12.3d-g,0.45a,0.55bc,111a,9590a,9590a,8670f,8670f,3590abc,3590abc,3310e-h,3310e-h
23,Selection,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,No.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Trial mean,39,52,1330,1330,850,850,1500,1500,1210,1210,47,28,8.4,9.9,10.5,13.6,0.42,0.5,120,9860,9860,"12,300","12,300",3610,3610,,3840
26,Heritability (H2),0.28,0.87,,0.34,,0.98,,0.75,,0.42,0.02,0.57,0.34,0.72,0.54,0.77,0.07,0.87,na,,na,,0.53,,0.33,,0.8
