,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,No,Province,Canton,CAT,,,,EPI,,,PC-B2,PC-B2,,,PC-C1,,,TPC,
1,,,,(mg/g),(mg/g),,,(mg/g),(mg/g),,(mg/g),(mg/g),,,(mg/g),,,(mg GAE/g),(mg GAE/g)
2,1,Guayas,Milagro,4.82  1.34,4.82  1.34,4.82  1.34,C cde,5.42  2.30,5.42  2.30,B de,3.19  1.16,3.19  1.16,3.19  1.16,B cdef,2.76  0.67,2.76  0.67,Cd,47.406.20 bc,47.406.20 bc
3,2,(Pac. Coast),Yaguachi,4.81, 1.16, 1.16,C cde,5.05  1.19,5.05  1.19,B de,2.90 ,2.90 ,1.12,B def,3.02 ,1.03,C cd,45.539.53 abc,45.539.53 abc
4,3,,Duran,4.20,4.20,0.86,Ce,4.58  1.22,4.58  1.22,B de,2.47,,0.60,B def,2.58 ,0.55,Cd,45.517.60 abc,45.517.60 abc
5,4,Los Rios,Montalvo,6.03 ,6.03 ,1.83,BC bcde,7.78  4.84,7.78  4.84,B bcd,2.91,,1.54,B def,3.24 ,1.98,BC cd,43.458.56 abc,43.458.56 abc
6,5,(Pac.Coast),Vinces,4.73,,0.97,BC de,4.96, 1.53,B de,2.13,,0.50,B def,2.56,0.81,BC d,36.83  7.89 ab,36.83  7.89 ab
7,6,Manabi,Santa Ana,5.70,+,1.31,AB bcde,9.57,3.05,Aab,3.24,+,0.98,B cdef,3.8 ,1.51,B cd,33.55  5.74 a,33.55  5.74 a
8,7,(Pac.Coast,Portoviejo,8.93,,4.94,AB a,10.38  1.86,10.38  1.86,Aab,4.14,,0.39,B bcd,4.7  1.03,4.7  1.03,B bc,47.377.02 bc,47.377.02 bc
9,8,,Chone,6.27,+,1.37,AB abcde,7.44  2.67,7.44  2.67,Abcd,3.48 ,3.48 ,0.58,B bcdef,3.671.13,3.671.13,B cd,46.80  8.81 bc,46.80  8.81 bc
10,9,Francisco,El Coca,7.56  2.14,7.56  2.14,7.56  2.14,AB abcd,5.5  1.63,5.5  1.63,B cde,3.89 ,3.89 ,2.03,B bcde,4.22  1.16,4.22  1.16,BC bcd,49.39  4.82 c,49.39  4.82 c
11,10,de Orellana,Loreto,5.84,5.84,1.25,AB bcde,3.52, 1.27,Be,1.77,,0.53,B ef,2.53,0.91,BC d,43.57,5.20 abc
12,11,(Amazon),Sachas,7.08  1.05,7.08  1.05,7.08  1.05,AB abcde,4.67, 1.53,B de,2.07,,0.53,B def,2.92  ,0.82,BC d,50.39  2.55 c,50.39  2.55 c
13,12,Sucumbios,Lago Agrio,7.15  1.64,7.15  1.64,7.15  1.64,A abcd,4.76  1.78,4.76  1.78,B de,2.58  1.09,2.58  1.09,2.58  1.09,B def,3.47 1.04,3.47 1.04,B cd,52.86  12.40 cd,52.86  12.40 cd
14,13,(Amazon),Shushufindi,7.40  1.56,7.40  1.56,7.40  1.56,Aabcd,3.45  1.13,3.45  1.13,Be,1.44,1.44,0.59,Bf,2.55  0.84,2.55  0.84,Bd,42.758.19 abc,42.758.19 abc
15,14,,Gonzalo Pizarro,7.13  1.60,7.13  1.60,7.13  1.60,A abcd,10.46  2.78,10.46  2.78,Bab,5.64  2.64,5.64  2.64,5.64  2.64,Bab,5.75  1.22,5.75  1.22,B ab,63.11  8.25 de,63.11  8.25 de
16,15,Napo,Tena,7.38,7.38,0.82,A abcd,5.31  1.19,5.31  1.19,A de,2.84,,1.25,Adef,3.11,0.74,Acd,48.50,5.19 bc
17,16,(Amazon),Arosemena Tola,7.66 ,7.66 ,1.00,Aabc,8.94  2.21,8.94  2.21,Abc,5.17,,1.80,Abc,5.83 ,1.28,Aab,71.66  3.94 e,71.66  3.94 e
18,17,,Archidona,7.74  2.56,7.74  2.56,7.74  2.56,Aab,13.16  3.61,13.16  3.61,Aa,7.85,,3.29,Aa,6.52,1.55,Aa,70.91  14.17 e,70.91  14.17 e
