,0,1,2
0,Genotype,Subspecies,TPC(mg ferulic aci
1,,,equiv.kg-
2,Non-pigmented,,
3,Epagri 108,indica,749.3 12.6
4,Epagri 109,indica,1348.932.6
5,SCS 115 CL,indica,859.918.5
6,SCSBRS Tio Taka,indica,826.221.3
7,SCS112,indica,1021.924.1
8,SCS 114,indica,1091.721.5
9,L230,indica,1146.247.6
10,EMPASC 104,indica,1134.559.0
11,SCS354,indica,1162.378.2
12,SCS339,indica,845.242.0
13,Carnaroli,japonica,1117.817.8
14,Blue Belle,japonica,1136.76.7
15,EEA406,japonica,1214.20.3
16,Mocchi,japonica,1355.436.3
17,Pigmented,,
18,Red rice,indica,3453.7167.5
19,ITJ 8,indica,4393.4124.1
20,ITJ 80,indica,4366.278.9
21,ITJ 82,indica,3864.3112.8
22,ITJ 75,indica,5061.9150.9
23,ITJ31,indica,3428.432.7
24,Black rice,japonica,5155.8367.3
25,Mean non-pigmented rice,,1072.2189.1a
26,Mean pigmented rice,,4246.2  703.7b
