,0,1,2,3,4,5,6
0,Fatty acids (%),Cultivar,,,,,
1,,NT,NO,NE,NA,FR,NJ
2,Lauric acid (C12:0),1.19  0.02 c,1.12  0.08 c,nd,1.45  0.04 d,0.94  0.01 b,0.75  0.05 a
3,Myristic acid (C14:0),3.17  0.13 d,1.68  0.09 b,1.38  0.12 a,1.56  0.01 ab.,2.15  0.06 c,1.33  0.05 a
4,Palmitic acid (C16:0),50.0  1.0 e,33.8  0.3 b,42.5  1.8 d,39.8  0.5 cd,37.5  0.6 c,30.1  1.2 a
5,Palmitoleic acid (C16:1),1.84  0.05 b,1.56  0.12 ab,1.28  0.10 ab,2.84  0.24 c,3.45  0.38 d,1.05  0.08 a
6,Stearic acid (C18:0),5.86  0.17 b,4.36  0.08 a,5.57  0.01 b,5.47  0.02 ab,5.71  0.33 b,6.46  0.86 b
7,Oleic acid(C18:1,16.3  0.5 abc,9.22  0.66 a,23.7  1.8 c,15.0  1.1 ab,22.3  3.4 bc,21.6  5.5 bc
8,Linoleic acid (C18:2),12.8  0.6 a,27.9  0.3 d,20.3  4.2 bc,19.8  0.1 bc,16.3  0.5 ab,25.1  2.5 cd
9,Linolenic acid (C18:3),8.85  0.41 b,20.4  0.6 d,5.31  0.55 a,11.5  0.6 c,8.68  1.51 b,10.5  0.3 bc
10,Arachidic acid (C20:0),nd,nd,nd,2.53  0.38 a,2.98  0.07 a,3.12  0.42 a
11,Total MUFA,18.2  0.6 ab,10.8  0.5 a,24.96  1.73 b,17.8  0.8 ab,25.7  3.0 b,22.7  5.4 b
12,Total PUFA,21.6  0.2 a,48.3  0.9 d,25.6  3.7 ab,31.3  0.7 bc,25.0  2.0 ab,35.6  2.9 c
13,Total SFA,60.2  0.7 c,40.9  0.4 a,49.5  1.9 d,50.9  0.1 d,49.3  1.0 d,41.7  2.a
14,A12,1.60  0.04 c,0.70  0.01 a,0.95  0.08 b,0.97  0.01 b,0.93  0.03 b,0.62  0.05 a
15,IT3,1.78  0.01 bc,1.35  0.02 a,1.96  0.15 c,1.55  0.03 ab,1.52  0.03 a,1.30  0.13 a
16,U/S4,0.66  0.02 a,1.44  0.02 c,1.02  0.08 b,0.97  0.001 b,1.03  0.04 b,1.40  0.14 c
