,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,ANOVA,Color,Overall,Fresh fruit Red fruit,Fresh fruit Red fruit,Dried fruit,Cooked,Spicy,Sweetness Acidity,Sweetness Acidity,Bitterness Fresh fruit,Bitterness Fresh fruit,Berry F Dried fruit,Berry F Dried fruit,Herbal,SpicyFHotF,SpicyFHotF,Astringency Dryness Body,Astringency Dryness Body,Astringency Dryness Body,Length
1,effect,saturation,aroma,(A,A,(A,A,A,,,,(F,,F,F,,,,,,
2,Wine,,,,,,,,,,,,,,,,,,,,3.67 a
3,Control,6.27 aa,6.99 a,2.42 b,2.08 a,0.75 a,1.04a,0.94a,5.74 a,5.78 a,6.36 a,2.06 a,1.99 a,0.79 a,0.71 a,1.21 a,2.65 a,6.04 ab,6.00a,6.01b,3.67 a
4,CS+5d,6.15 ab,6.81 a,1.81 b,1.84a,0.90a,1.04a,1.00a,5.30 b,5.78 a,5.27 c,1.79 a,1.41 a,0.85a,0.89 a,0.78 a,2.67 a,5.71 b.,5.87 a,5.87b,3.42 a
5,CS+10d,5.86 b,7.14a,3.46 a,1.67 a,0.99 a,0.91 a,0.83 a,5.26 b,5.98 a,5.82 b,1.93 a,1.37 a,1.11 a,0.52 a,1.36 a,3.38a,6.13 a,6.00 a,6.45 a,3.51a
6,p-value,0.045,0.276,0.002,0.665,0.817,0.929,0.883,0.049,0.359,<0.0001,0.724,0.326,0.734,0.496,0.274,0.448,0.102,0.792,0.001,0.252
7,Panelist,,,,,,,,,,,,,,,,,,,,
8,p-value,0.126,0.003,0.001,<0.0001,<0.0001,0.003,0.001,0.006,<0.0001<0.0001,<0.0001<0.0001,<0.0001,<0.0001<0.0001,<0.0001<0.0001,0.022,<0.0001<0.0001 <0.0001,<0.0001<0.0001 <0.0001,<0.0001<0.0001 <0.0001,0.004,<0.0001<0.0001,<0.0001<0.0001
9,Replicate,,,,,,,,,,,,,,,,,,,,
10,p-value,0.357,0.090,0.367,0.159,0.131,0.667,0.960,0.267,0.624,0.088,0.033,0.803,0.353,0.423,0.015,0.535,0.942,0.326,0.092,0.120
11,Panelist ,,,,,,,,,,,,,,,,,,,,
12,Wine,,,,,,,,,,,,,,,,,,,,
13,p-value,0.972,0.972,0.927,0.512,0.729,0.900,0.392,0.907,0.425,0.284,0.823,0.473,0.923,0.648,0.593,0.979,0.563,0.558,0.208,0.100
