,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0,,Moisture,En,Pro(g/,Fat (g/,SFA (g),Oleic,MUFA,Linoleic,Linolenic,PUFA,Chol,CHO(g/,Starch,Sugars,Dietary,Alcohol
1,,(g)a,100 g),100 g),100 g),100 g),100 g),(g),100 g),acid (g/,(g/,(mg),100 g),100 g),(g/,100 g),g/100 gb
2,,,100 g),,,,100 g),100 g),100 g),100 g),100 g),100 g),,100 g),100 g),100 g),
3,Fiadone,23,378,19.0,19.5,8.4,4.0,7.9,1.1,0.2,1.4,192.8,33.3,29.5,0.8,1.3,0.01
4,Anellini alla,66,154,5.5,7.5,2.2,4.0,4.2,0.6,0.1,0.7,39.7,16.9,13.5,2.0,1.3,0.00
5,pecorara,,,,,,,,,,,,,13.5,,1.3,
6,Brodo di cardone con,87,57,4.7,3.5,1.7,1.1,1.1,0.3,tr,0.4,54.7,1.8,1.4,0.4,0.9,0.00
7,stracciatella e,,,,,,,,,,,,,,,,
8,pizza rustica,,,,,,,,,,,,,,,,
9,Pan cotto,81,94,3.1,2.6,1.1,3.3,3.4,0.5,tr,0.6,49.0,8.8,6.4,1.8,1.2,0.00
10, Pasta alla mugnaia,69,119,6.3,2.6,1.0,2.4,1.1,0.4,0.1,0.3,5.8,18.4,15.4,1.5,1.1,0.00
11,Pasta allo sparone,66,146,8.1,6.8,3.4,2.4,2.5,1.0,0.1,0.5,47.7,13.6,10.1,1.1,1.5,0.00
12, Pizza e fuje,66,178,3.2,9.9,1.6,6.7,6.9,1.0,0.1,1.3,1.9,20.4,17.6,1.1,1.5,0.00
13, Spaghetti alla,58,187,9.5,7.1,2.4,2.8,3.0,1.1,0.1,1.2,71.8,22.6,19.5,1.1,1.0,0.00
14,chitarra con,,187,9.5,,2.4,,,,,,,,19.5,1.1,,
15,pallottine,,,,,,,,,,,,0.1,,,,
16,Agnello cacio e ove,48,283,27.0,19.4,7.9,8.5,9.0,0.9,0.3,1.3,162.0,0.1,0.0,0.1,0.1,0.01
17,Baccala' con patate e,74,125,8.1,6.5,1.2,3.4,3.5,1.4,0.1,1.6,16.0,8.9,6.4,1.8,1.1,0.00
18,cipolle,,,,,,,,,,0.4,,2.0,,,,
19,Brodetto alla vastese,87,59,7.3,2.4,0.4,1.2,1.3,0.2,tr,0.4,28.8,2.0,0.1,2.0,0.9,0.00
20,Pallotte cacio e ove,62,205,12.4,13.4,6.2,3.9,4.2,1.9,0.1,2.0,82.0,9.3,7.1,1.5,1.1,0.00
21,Ciabotta,86,59,1.4,2.8,0.5,1.7,1.8,0.3,0.1,0.4,110.4,7.3,4.1,2.8,2.0,0.00
22,Ferratelle,3,376,11.6,18.9,4.6,11.1,13.4,1.8,0.1,2.3,110.4,63.8,32.3,28.3,2.5,0.03
23,Ferratelle,3,476,11.6,20.9,4.2,12.9,13.4,1.8,0.2,2.3,179.6,63.8,32.3,28.3,1.1,0.00
24,Parrozzo,17,247,11.5,11.8,4.1,9.2,9.4,2.5,0.1,2.7,148.9,30.1,13.0,23.3,3.8,0.03
25,Pizza doce,51,247,5.7,11.8,6.0,3.1,3.4,0.6,0.1,0.8,138.4,30.1,6.2,23.3,1.1,0.66
