,0,1,2,3,4,5,6,7,8,9,10,11,12
0,Analytical,Commercial RJsa,,,Authentic Italian RIsb,Authentic Italian RIsb,,French RJs with honey bee,French RJs with honey bee,,RJs obtained by bee feeding,RJs obtained by bee feeding,
1,criteria,,,,,,,feedingc,,,,,
2,,MeanSDe,Min,Max,Mean+SD,Min,Max,MeanSD,Min,Max,MeanSD,Min,Max
3,Water (%),64.3  1.15,61.8,68.2,64.7  1.52,61.1,67.5,66.7  1.46,63.6,71.6,66.3  1.26,63.6,70.1
4,Protein %,14.7  0.60,11.6,16.8,15.0  0.89,13.5,16.5,13.3  0.88,11.3,15.6,13.00.97,10.2,16.1
5,10-HDA %),1.5  0.34,0.9,2.9,2.40.61,1.1,3.2,2.4  0.41,1.5,3.1,2.3  0.46,1.3,3.7
6,13C/12C(%,21.99  2.11,-26.58,-18.54,24.74  1.05,26.39,22.78,25.18  0.71,26.45,23.73,21.173.43,26.05,14.65
7,15N/14N (%o),1.60 1.02,0.45,2.95,1.63  1.69,1.44,3.72,1.01  1.41,1.93,2.86,1.850.71,0.49,3.29
8,Total amino,0.49  0.29,n.d.f,0.83,0.66  0.02,0.64,0.67,0.63  0.06,0.52,0.79,0.58  0.09,0.43,0.93
9,acids (%),,,,,,,,,,,,
10,Total sugars (%),15.35  1.47,8.58,19.18,12.09  1.48,9.89,14.43,13.111.51,9.68,15.74,14.51  1.75,10.69,20.50
11,Fructose (%),5.42  0.80,2.41,7.53,4.04  0.70,2.73,5.10,4.55  0.76,2.80,6.04,3.56  1.41,0.66,6.68
12,Glucose (%),5.70  0.65,3.22,7.62,4.55  0.96,2.00,5.85,5.79 0.74,4.17,7.40,5.93  0.87,3.82,8.68
13,Sucrose (%),1.42  0.71,n.d.,3.85,0.93  0.92,0.07,3.18,0.16  0.22,n.d.,1.29,1.00  1.48,n.d.,7.70
14,Erlose (%),0.37 0.30,n.d.,1.96,0.150.16,n.d.,0.55,0.04  0.05,n.d.,0.19,0.25  0.40,n.d.,1.65
15,Maltose (%),0.34  0.28,0.07,2.63,0.20  0.12,0.04,0.47,0.240.09,0.07,0.55,1.34  1.49,0.08,5.54
16,Maltotriose (%),0.02  0.06,n.d.,0.42,0.02  0.01,n.d.,0.05,n.d.,n.d.,n.d.,0.28  0.41,n.d.,1.69
17,Gluconic acid (%),1.81  0.29,n.d.,0.83,1.46  0.65,0.45,2.35,1.81  0.37,0.75,2.34,1.61  0.37,0.64,2.52
