,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,Food,,Weight of,,Sodium,,,Potassiun,,Calcium,Calcium,,Phosphorus,,Magnesium,Magnesium
1,,,serving (g,Median Meangsd(n),Median Meangsd(n),Median Meangsd(n),Kedian Meansd(n),Kedian Meansd(n),Median Mean sd(n),Median Mean sd(n),Median Mean sd(n),Median Meansd(n),Median Meansd(n),Median Meantsd(n),Median Meantsd(n),Median Meantsd(n)
2,Stroined/junior dinners,Stroined/junior dinners,Stroined/junior dinners,,,,,,,,,,,,,
3,1jar,,128,30,30,5(28),168,1672128,12,13,3(27),74,7(27),13.8,13.6,1.428
4,1jor,,128,26,32,35(28,187,183128,10,11,1(27,,8211(27,14.9,15.0,2.328
5,vegetables1 jar,vegetables1 jar,128,30,30,628,128,1272428,110,1034527,1034527,105,10617(27,13.6,13.8,1.928
6,1jar,,213,26,38,44(28,223,2154828,26,25,6(27),62,6311(27,18.3,17.8,5.128
7,ham-1 jar,,213,80,80,46(28),224,215412B,31,30,6(27),62,9(27),20.6,19.1,4.328
8,Vegetables w/,Vegetables w/,,,,,,,,,,,,,,
9,1jar,,213,28,40,45(28),145,1553328,52,50,20(27,69,721127,15.,5.12.728,5.12.728
10,"Tomatoes, beefand","Tomatoes, beefand",,30,37,1828,,2094728,37,,,69,,,,
11,macaroni,1jr,213,30,37,1828,220,2094728,37,38,8(27),69,691027,19.4,18.7,4.328
12,Ch icken and noodles,Ch icken and noodles,,30,36+,,157,1603728,37,,,78,,,,
13,1jar,,213,30,36+,32(28,157,1603728,65,651327,651327,78,8(27),17.6,17.2,3.028
14,Turkey and rice,Turkey and rice,,31,33,,,,52,,,72,,,,
15,1jar,,213,31,33,10(28),174,1673528,52,4821(27,4821(27,72,9(27),15.3,15.1,2.6(28
16,1jar,Pudding/custard,220,48,46,1428},158,1663828,99,9529(27,9529(27,97,912327,,,3.513.33.628)
