,0,1,2,3,4,5,6,7,8,9,10
0,Quality parameter,Fruit class,Pre-Pr,LV,Calibration,,Validation,,,,Info. region (nm)
1,,,,,R,RMSEC,R,RMSEP,RPD,Slope,
2,Mass (g),All,None,7,0.94,8.83,0.93,9.96,2.70,0.87,900-1550
3,,Green,None,7,0.98,7.17,0.95,9.71,3.38,0.92,900-1550
4,,Orange,None,7,0.92,7.13,0.83,10.09,1.80,0.79,900-1550
5,,Orange,None,7,0.93,7.84,0.91,9.28,2.41,0.85,900-1550
6,Colour index,All,MSC,10,0.89,0.70,0.84,0.82,2.08,0.74,1000-1900
7,,Green,MSC,10,0.87,0.47,0.54,0.86,1.55,0.45,1000-1900
8,,Yellow,MSC,10,0.64,0.41,0.37,0.53,1.03,0.26,1000-1900
9,,Orange,MSC,10,0.70,0.47,0.35,0.68,1.03,0.26,1000-1900
10,TSS (Brix),Green,1st der,4,0.87,0.53,0.83,0.59,1.83,0.71,900-1800
11,,Green,1st der,4,0.87,0.52,0.79,0.64,1.70,0.66,900-1800
12,,Yellow,1st der,4,0.87,0.47,0.81,0.57,1.70,0.70,900-1800
13,,Orange,1st der,4,0.98,0.16,0.88,0.37,2.36,0.74,900-1800
14,Vitamin C (mg/100 mL),Green,MSC,8,0.81,6.07,0.72,7.29,1.42,0.61,1050-2000
15,,Green,MSC,8,0.57,9.31,0.46,10.12,1.12,0.26,1050-2000
16,,Yellow,MSC,8,0.93,3.59,0.56,5.92,1.64,0.74,1050-2000
17,,Orange,MSC,8,0.71,5.59,0.56,6.67,1.20,0.39,1050-2000
