,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,,RXY,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,2222221122222112.2222122222,,,,,,,,,,,,,,,,,,
2,,,,,,22.1.122.221111:1,,,,,,,,,,,,,,,,,,
3,,SEM,,002,0000,,0110,,,0,,6000,3000,00,1000,100,000,0003,000,000,,,,1114
4,1.1C,,,,,,,,,,,,,,,,,015,3/00,112,,,,
5,D.6,,,,,,,,,,2,,,,,,090'0,,900,114,240,,3.50,110
6,1.2e,,,,,,,,,,,,,,,,7900,11,80,9,,,,112
7,D.6,,,,,,,,,,,,,,,09'0,,11'0,90'0,01,,446,,112
8,1.26,,,,,,,,,,,,,,,,0002,10,,015,,,,Z6
9,D.6,,,,,,,,,,,,,,,,90,,90,13,,,,
10,1.1C,,,,,,,,,,,,,,,090,,,,,,,,901
11,D.6,,,,,,,,,,,,,,,,,810,,,,,,115
12,1.1C,,,,,,,,,,,,,,,,,,,,,,,0
13,J.6,,,,,,,,,,,,,,90,,,,690'0,,,,,113
14,1.2C,,,,,,,,,,,,,,,,,,,113,,,,
15,D.6,,,,,,,,,,,,,,,,,810,,014,,,,
16,,,,,,,,,,,,,,,,,,110,800,115,234,,,113
17,D.6,,,,,,,,,,,,,,,08,,,,,,,,
18,,,,,,,,,,,,,,1,,,90'0,01'0,00.2,11'0,,,,
19,D.6,,,,,,,,,,,,,,,,0900,10,8800,60,,,,
20,,,,,,,,,,,,,,,,,900,,,012,,,,
21,,,,,,,,,,,,,,,,,,110,9900,,,,,
22,,,,,,22,,,,,,,,22,22,,,,,,,,,
23,,,0010,,,,11,C:110,C111,,,,,,,,,,,,,,,PPIA
