,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,,,Ca-HCO3,8.0,,,,,,1.4,110,44,85,0.5,0.03,0.2,15,1.5,,35
1,3,PET,Ca-HCO3,8.0,0.12,0.16,36,13,2,0.6,153,15,3,ndb,0.01,nd,10,1.5,10,0.6
2,,PET,Na-HCO3,7.8,0.12,0.07,20,2,2,1.7,57,15,0.4,0.2,0.01,1.5,6,14.4,800,3.9
3,5,PET,Na-HCO3,6.9,3.22,2.81,180,56,780,96,2200,275,298,0.4,1.0,<0.1,26,14.4,800,980
4,6,Glass,Na-HCO3,7.3,0.24,1.28,115,59,295,5.4,1300,22,80,1.9,0.14,nd,57,1.9,400,980
5,7,PET,Ca-HCO3,7.3,0.54,0.13,8,5,28,0.6,300,4,2,0.1,0.14,6.4,20,0.05,12,0.2
6,8,PET,Ca-HCO3,7.1,0.54,0.42,138,29,17,1.3,390,29,24,0.5,<0.01,20,9,0.05,15,5.2
7,9,PET,Ca-HCO3,6.4,0.71,0.42,138,4,17,1.5,390,29,24,nd,0.09,20,9,0.4,50,2.4
8,10,PET,Ca-HCO3,6.4,1.51,0.98,325,15,20,3.8,1020,59,16,<0.2,0.07,0.8,29,0.12,50,48
9,11,PET,Ca-HCO,nrc,1.17,0.13,8,5,28,0.6,41,5,42,0.1,0.13,6.4,20,0.05,11,0.1
10,12,PET,Ca-HCO,6.2,0.19,0.82,169,33,87,8.1,650,110,75,1.0,0.31,6.5,11,6.5,700,216
11,13,PET,Ca-HCO3,7.3,0.19,0.15,29,3,11,2.0,120,17,2,0.6,0.01,2.2,25,6.5,13,11
12,14,PET,Ca-HCO3,6.7,0.07,0.05,11,1,2,0.5,50,7,1,0.2,<0.01,0.5,7,3.7,15,0.3
13,15,PET,NaCl,6.7,0.49,0.17,13,8,31,1.6,50,11,53,0.9,0.19,10,100,0.05,15,4.3
14,16,PET,Ca(Mg)-HCO3,6.2,0.49,0.40,35,11,52,27,270,17,19,0.9,0.07,6.0,100,2.6,110,82
15,17,PET,NaCl,7.1,0.30,0.16,26,7,103,0.2,99,17,157,0.2,0.04,14,53,7.7,60,23
16,18,PET,Ca-HCO3,nr,0.24,0.13,48,57,7,0.2,200,2,7,<0.1,0.04,1.0,2,0.11,3,0.1
17,19,PET,Ca-HCO3,6.9,0.49,0.29,23,15,49,0.9,120,39,84,nd,0.26,0.7,18,0.3,14,5.5
18,20,PET,NaCl,6.9,0.49,0.29,23,15,49,1.4,120,39,84,0.6,0.26,0.7,18,0.3,32,41
19,22,PET,Ca(Mg)-HCO3,6.0,1.78,0.26,48,29,48,48,1400,6,20,1.0,0.07,5.0,78,8.8,700,1.4
20,22,PET,Ca-HCO3,6.0,1.78,1.30,377,20,48,48,1400,6,20,1.0,0.07,5.0,78,8.8,700,145
21,23,PET,Ca-HCO3,8.4,0.62,0.32,78,4,5,1.4,132,12,5,0.4,0.27,2.9,14,4.7,90,15
22,24,PET,Ca-HCO3,nr,0.62,1.11,78,24,5,1.0,357,12,5,nd,0.01,3.8,14,0.6,13,8.8
23,26,PET,Ca-HCO3,7.6,1.49,1.11,51,52,53,2.2,940,41,73,nd,0.11,3.0,27,1.8,39,57
24,26,PET,Ca-HCO3,7.6,0.63,0.37,51,16,53,2.2,210,41,73,0.6,0.23,0.3,27,1.8,39,57
25,27,PET,NaCl,nr,0.43,0.29,27,10,52,2.5,114,14,80,0.1,0.24,18,49,2.7,35,9
26,28,PET,Ca-HCO3,6.0,1.29,0.86,314,15,5,2.0,980,10,8,0.3,0.03,4.5,13,1.4,12,1.6
27,29,PET,Ca(Mg)-HCO3,7.2,0.44,0.26,48,29,7,1.0,306,5,2,0.1,0.01,8.2,16,0.4,9,1.4
28,30,PET,Ca-HCO3,7.4,0.54,0.36,80,25,13,1.6,368,22,14,nd,0.07,2.6,16,0.2,40,6.1
29,31,PET,Ca-HCO3,7.7,0.31,0.18,40,12,0,0.2,226,6,1,0.1,<0.01,5.7,3,0.1,2,0.1
30,32,Glass,Ca-HCO3,nr,0.85,0.13,18,7,12,1.3,420,44,23,nd,0.11,nd,11,0.1,34,7.4
31,34,PET,Na-HCO3,6.8,3.19,0.13,36,9,470,25,104,67,354,11,1.2,2.0,44,1.7,900,1500
32,34,PET,Na-HCO3,6.8,3.19,1.46,36,9,470,25,906,67,354,11,1.2,<0.5,44,1.7,900,1500
33,35,PET,Ca(Mg)-HCO3,7.1,0.43,0.26,12,8,52,6.2,90,15,80,nd,0.15,nd,32,5,8,7.1
34,36,PET,Ca-HCO3,7.1,0.43,0.26,27,10,52,2.5,90,15,80,0.1,0.15,17,25,2,24,6.0
35,37,PET,Ca-HCO3,7.4,0.28,0.16,53,3,2,0.5,179,3,4,0.2,<0.01,0.8,5,0.5,11,0.5
36,Tap water,,,,,,,,,,25,,,,,,5,,,
37,40,,NaCl,7.0,0.18,0.09,14,4,18,0.9,27,10,31,<0.1,<0.1,5.8,13,0.11,8,1.4
38,41,,NaCl,7.0,0.18,0.09,2,4,12,1.4,27,7,31,0.1,<0.1,2.0,8,0.11,9,1.4
39,42,,Na-Cl,7.4,0.13,0.07,10,2,12,0.9,70,7,23,0.1,<0.1,2.0,8,<0.05,8,0.9
40,43,,Na-Cl,8.2,0.66,0.34,11,10,80,4.0,140,49,102,0.1,0.19,6.1,12,0.07,28,2.7
41,44,,NaCl,8.2,0.66,0.34,11,12,80,4.0,122,49,102,0.1,0.19,6.1,12,0.07,45,8.4
42,45,,Ca-HCO3,7.7,0.32,0.16,25,17,20,1.7,86,20,37,0.2,<0.1,2.7,3,<0.05,50,1.9
43,46,,Ca-HCO3,7.7,0.36,0.19,25,12,20,1.7,50,20,69,0.1,<0.1,2.7,4,<0.05,17,1.9
44,48,,NaCl,7.8,0.36,0.19,13,8,4,1.3,359,17,5,0.1,<0.1,3.1,8,0.05,22,1.5
45,49,,Ca-HCO3,7.8,0.32,0.34,104,19,4,1.3,359,16,12,0.1,<0.1,3.1,6,0.7,15,1.5
46,49,,Ca-HCO3,8.0,0.32,0.19,62,5,8,1.1,171,16,12,0.1,<0.1,4.3,5,0.1,17,2.2
47,50,,Ca-HCO3,7.7,0.49,0.28,73,12,16,2.7,206,45,23,0.1,<0.1,7.9,9,0.1,56,2.3
