,0,1,2,3,4,5,6,7,8,9,10,11,12
0,,"Biosurfactant enhanced MSPE 15 mg of PMS, 500 L THF+150 L of","Biosurfactant enhanced MSPE 15 mg of PMS, 500 L THF+150 L of",,,,,SPE**,,,,,
1,,desorption solvent,,,,,,200 mg of C15mL of eluent,200 mg of C15mL of eluent,,,,
2,Analytes,Linear range (g,R2,LOD(g,LOQb,"RSD (%,",PFc,Linear range (g,,,LOD(g,LOQb (g,"RSD (%,"
3,,kg~1),,kg~1),g,n=3,,kg~1),,,kg~1,kg-1,n=3
4,SLP,0.5500,0.9953,0.09,0.31,5.5,46,0.5500,0.9951,,0.06,0.19,3.3
5,DZN,0.5500,0.9971,0.14,0.45,7.3,76,0.5-500,0.9953,,0.07,0.24,3.6
6,TCM,0.5500,0.9974,0.15,0.5,1.5,68,0.5500,0.9961,,0.06,0.2,7.9
7,CLP,0.5500,0.9986,0.13,0.43,1.7,516,0.5500,0.9960,,0.15,0.5,4.4
8,ISP,0.5500,0.9957,0.08,0.25,3.6,56,0.5500,0.9956,,0.11,0.36,2.1
9,ETN,0.5500,0.9988,0.15,0.5,3.7,479,0.5500,0.9957,,0.14,0.45,4.7
