,0,1,2,3,4,5,6,7,8,9
0,Compound (mg/L),R(P),,R(B),R(Rd),,R(Rg),,R(V),
1,,1997,1998,1997,1997,1998,1997,1998,1997,1998
2,Esters,,,,,,,,,
3,Isoamil acetate,2.33,4.92,4.36,2.87,3.90,2.57,3.09,3.10,3.14
4,Hexyl acetate,0.07,0.05,0.15,0.08,0.06,0.07,0.06,0.10,0.03
5,2-Phenyl ethyl acetate,0.30,0.50,0.23,0.15,0.78,0.21,0.57,0.16,0.68
6,Ethyl hexanoate,0.49,0.61,0.65,0.48,0.53,0.51,0.47,0.47,0.54
7,Ethyl octanoate,0.15,0.35,0.24,0.19,0.27,0.19,0.21,0.23,0.22
8,Ethyl decanoate,0.30,0.01,0.06,0.04,nd,0.05,0.01,0.06,0.01
9,Isoamyl lactate,nd,nd,nd,nd,nd,nd,0.02,nd,0.01
10,Dietil succinate,0.30,0.24,0.26,0.12,0.18,0.21,0.17,0.14,0.13
11,Ethyl piruvate,0.05,0.07,0.07,0.05,0.05,0.05,0.06,0.03,0.07
12,Ethyl-3-hydroxy-butyrate,0.16,0.15,0.16,0.20,0.16,0.15,0.10,0.22,0.05
13,Ethyl-4-hydroxy-butyrate,4.49,1.21,1.66,2.51,1.06,3.48,2.04,1.80,1.07
14,Diethyl malate,0.12,0.14,0.23,0.08,0.42,0.09,0.09,0.05,0.09
15,Monoethyl-2-hydroxy-glutarate,0.69,0.24,0.94,0.92,0.27,0.44,0.23,0.43,0.19
16,Diethyl-2-hydroxy-glutarate,0.13,0.05,0.07,0.02,0.08,0.05,0.04,0.01,0.03
17,Total,9.58,8.54,9.08,7.71,7.76,8.07,7.16,6.80,6.26
18,Acids,,,,,,,,,
19,Butyric,0.36,0.46,0.05,0.08,0.40,0.23,0.39,0.11,0.40
20,Isobutyric,0.24,0.09,0.12,0.14,0.11,0.16,0.12,0.09,0.09
21,Isovaleric,0.65,0.13,0.34,0.43,0.15,0.48,0.26,0.27,0.20
22,Hexanoic,4.39,7.26,7.18,4.68,6.56,4.21,6.51,3.63,7.51
23,Octanoic,7.61,7.79,12.44,7.35,6.97,7.64,8.90,6.02,9.08
24,Decanoic,1.52,0.18,2.26,1.61,0.25,1.78,0.40,1.19,0.35
25,9-Dodecanoic,0.36,0.03,0.17,0.19,0.05,0.16,0.02,0.07,0.02
26,Monoethyl succinic,10.93,3.11,5.32,5.69,3.30,4.41,3.89,3.00,2.18
27,Total,26.06,19.05,27.88,20.17,17.79,19.07,20.49,14.38,19.83
28,Phenols,,,,,,,,,
29,4-Vinyl guaiacol,0.10,nd,0.13,0.20,0.02,0.17,0.01,0.16,Nd
30,Lactones,,,,,,,,,
31,y-Butirolactone,3.06,0.99,2.44,2.27,0.89,1.89,0.99,1.39,0.68
32,Aldehydes,,,,,,,,,
33,Acetoine,0.08,0.30,0.08,0.08,0.12,0.04,0.06,0.06,0.98
34,Total,102.15,47.22,65.66,55.3,45.81,62.52,58.65,40.86,57.06
