,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,Matrix,Spike Conc,BFA,,,,BFS,,,,BPF,,,,Pergafast,,,D8,,,
1,,(g kg-1,%Ra,RSDb,RSDc,MDLd,%Ra,RSDb,RSDc,MDLd,%Ra,RSDb,RSDc,MDLd,,RSDb,RSDc,%Ra,RSDb,RSDc,MDLd
2,Vegetables,10,80.5,9.2,7.8,0.003,81.5,10.5,9.7,0.006,92.0,7.9,6.1,0.015,103.6,10.5,7.8,102.6,11.5,11.2,0.02
3,,10,80.5,8.5,11.3,,103.8,3.6,7.2,,92.0,2.7,4.3,,103.6,6.0,6.1,102.6,7.6,10.3,
4,,100,98.7,10.1,11.3,,89.8,9.9,8.3,,81.4,5.5,6.0,,92.5,10.5,5.2,88.1,9.8,7.5,
5,Seafood Products,1,96.2,3.5,4.7,0.005,82.0,4.5,5.9,0.011,89.7,9.1,10.2,0.03,100.5,6.5,4.0,84.5,3.5,4.4,0.018
6,,100,88.6,6.5,5.8,,101.5,11.3,4.6,,101.4,6.7,7.4,,101.2,3.8,5.2,87.7,7.8,5.7,
7,,100,101.9,9.9,9.1,,103.0,11.1,4.1,,103.0,3.6,5.2,,102.2,4.8,4.8,81.9,3.8,4.1,
8,Dairy Products,1,89.1,4.6,5.2,0.006,95.8,7.5,8.4,0.010,103.5,6.7,6.0,0.03,103.1,4.9,4.9,87.9,5.3,6.7,0.03
9,,10,102.4,7.9,9.2,,95.8,2.8,5.1,,103.0,7.9,7.9,,95.0,3.1,5.8,87.9,10.1,5.1,
10,,1,84.6,8.5,9.2,,95.8,6.5,5.1,,88.3,7.9,7.9,,98.6,2.9,5.8,100.6,7.8,5.1,
11,Beverages,1,85.5,7.1,6.7,0.003,95.8,6.5,7.3,0.006,101.3,10.1,8.7,0.02,98.6,3.5,3.2,87.8,6.1,6.9,0.015
12,,10,96.2,2.5,4.8,,81.2,10.9,7.9,,81.4,3.4,10.3,,91.2,5.0,6.4,94.6,7.5,6.5,
13,,50,103.5,7.9,6.9,,90.1,2.8,4.6,,93.0,5.5,7.3,,81.8,11.3,3.6,96.0,9.5,5.3,
14,Condiments,1,98.1,7.5,6.9,0.003,89.7,11.3,10.1,0.006,88.6,5.5,6.9,0.015,82.5,10.3,10.2,96.0,9.5,9.2,0.015
15,,10,98.1,11.0,11.1,,89.7,9.9,7.3,,88.6,5.1,4.0,,82.5,10.3,7.9,88.9,8.5,9.2,
16,Oils & fats,100,101.5,8.7,7.8,,86.1,4.5,7.2,,85.0,10.8,5.5,,83.4,7.6,5.9,96.6,7.8,7.1,
17,Oils & fats,1,83.8,8.5,7.8,0.004,102.3,8.5,7.2,0.008,101.0,4.3,5.1,0.025,90.5,7.6,5.9,89.4,7.8,7.1,0.02
18,Oils & fats,10,101.3,8.7,9.1,,83.6,4.8,5.5,,85.3,5.3,5.9,0.025,90.1,11.4,10.9,96.5,9.1,6.9,
19,,100,85.8,11.2,10.5,,86.5,10.3,11.3,,101.9,4.5,3.5,,81.9,3.9,5.0,81.4,2.9,6.8,
20,Others,10,91.5,4.2,5.2,0.003,98.7,10.8,11.3,0.006,87.1,8.5,9.7,0.022,80.3,3.9,2.9,81.2,2.9,3.9,0.015
21,,10,101.9,9.5,7.1,,94.7,8.9,10.2,,89.1,8.7,9.1,,88.3,4.9,7.3,84.8,4.6,5.4,
22,,100,93.5,7.6,5.5,,92.4,6.3,8.9,,87.9,2.9,6.1,,95.4,7.5,5.9,91.7,10.5,3.6,
