,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,,Totala.b,,Homologue composition [%],Homologue composition [%],,,,Ratio,WG content [%]e.d,WG content [%]e.d,,Bran [%.d,DF [%]
1,,,17:0,19:0,21:0,23:0,,25:0,C17:0/C21:0,Total,Rye,Wheat,,
2,Crisp bread 14,583,25,34,25,10,10,6,1.1,90,90,0,0,16
3,Crisp bread 15,567,26,34,24,10,,5,1.1,65,65,0,0,16
4,Crisp bread 16,528,28,35,21,8,8,5,1.3,70,70,0,0,23
5,Crisp bread 17,496,27,35,22,9,9,5,1.1,89,89,0,3,21
6,Crisp bread 18,471,28,35,22,8,8,5,1.3,92,92,0,0,6
7,Crisp bread 19,471,26,35,23,9,9,6,1.1,92,93,0,0,13
8,Crisp bread 20,415,27,35,23,9,,4,1.1,92,92,0,0,16
9,Crisp bread 21,415,27,34,24,10,10,4,1.1,83,83,0,0,16
10,Crisp bread 22,395,22,36,28,8,8,5,0.7,85,60,15,0,10
11,Crisp bread 23,135,24,28,28,11,9,LL5,1.0,80,55,10,0,12
12,Crisp bread 24,135,27,28,28,11,,LL5,0.5,55,55,0,0,10
13,Crisp bread 25,81,15,37,30,14,,LL5,0.5,51,0,0,0,10
14,Intermediate rye content (11-50%),305,,,,,,,0.6,,,,,
15,Crisp bread 26,305,18,36,32,10,,44,0.5,52,30,17,0,11
16,Crisp bread 27,282,17,36,34,9,9,44,0.5,45,30,15,0,11
17,Low rye content (10%),,,,,,,,,,,,,
18,Crisp bread 28,329,4,23,53,14,,6,0.1,83,0,83,0,9
19,Intermediate wheat content (11-50%),Intermediate wheat content (11-50%),,,,,,,0.4,,,,,
20,Crisp bread 29,213,14,34,40,9,9,33,0.4,55,18,30,0,87
21,Crisp bread 30,152,13,34,41,9,9,33,0.3,42,12,30,0,87
22,Low wheat content (10%),,,,,,,,,,,,,
23,Crisp bread 31,46,23,31,32,12,,6,0.8,10,0,10,16,6
24,Crisp bread 32,46,8,51,32,9,9,nd,0.2,2,0,2,0,6
25,No WG data,364,,,,,,,0.1,,,,,
26,Crisp bread 33,503,5,35,49,11,,3,0.1,85,0,0,15,16
27,Crisp bread 34,459,25,34,24,11,,5,1.0,-,,-,,16
28,Crisp bread 35,459,27,35,24,14,9,5,1.1,111,,-,,16
29,Crisp bread 36,269,33,41,48,7,,4,0.1,111,,11,11,37
30,Crisp bread 37,166,4,41,48,7,7,nd,0.1,111,,11,11,
31,Breakfast cereals,,,,,,,,,,,,,
32,High rye content (>50%),,,,25,,,,,,,,,
33,Breakfast cereal 1,781,24,32,25,11,,9,0.9,100,100,0,0,12
34,Breakfast cereal 2,321,23,32,24,11,8,4,1.2,100,100,0,0,14
35,Breakfast cereal 3,321,29,35,24,,8,4,1.2,92,62,0,0,14
36,Intermediate rye content (11-50%),479,,,,,,,,,,,,
37,Breakfast cereal 4,479,17,33,32,11,,5,0.5,90,25,20,5,11
38,Breakfast cereal 5,239,18,35,32,11,,6,0.6,80,25,0,0,11
39,Breakfast cereal 6,179,26,33,25,11,,6,1.0,100,50,0,0,11
40,Low rye content (10%),,,,,,,,,,,,,
41,High wheat content (>50%),,,,,,,,,,,,,
42,Breakfast cereal 8,830,4,35,48,10,10,2,0.1,58,0,58,19,16
43,Breakfast cereal 9,830,4,35,50,8,,4,0.4,58,0,58,19,15
44,Breakfast cereal 10,815,4,33,38,10,10,3,0.4,98,0,98,21,10
45,Breakfast cereal 11,733,4,33,51,10,,2,0.1,65,0,65,20,15
46,Breakfast cereal 12,372,4,35,51,8,8,52,0.1,71,0,75,20,14
47,Breakfast cereal 13,189,4,32,51,7,9,52,0.1,75,0,75,25,9
48,Breakfast cereal 14,33,6,37,48,7,,nd,0.1,63,0,63,0,9
49,Breakfast cereal 15,33,7,40,41,12,,nd,0.2,67,0,67,0,10
50,Intermediate wheat content (11-50%),Intermediate wheat content (11-50%),,,,,,,,,,,,
51,Breakfast cereal 16,400,15,36,38,8,8,4,0.4,79,19,20,6,13
52,Breakfast cereal 17,308,11,34,42,9,9,4,0.3,85,20,17,0,12
53,Breakfast cereal 18,297,10,36,38,7,7,6,0.4,30,13,17,4,10
54,Breakfast cereal 19,277,15,34,38,10,,4,0.4,83,20,27,0,12
55,Breakfast cereal 20,260,15,36,39,9,9,4,0.3,100,20,25,0,12
56, Breakfast cereal 21,225,13,35,39,9,9,5,0.3,80,20,20,0,10
57,Breakfast cereal 22,222,14,36,38,9,9,3,0.4,78,18,20,0,11
58,Breakfast cereal 23,204,17,34,34,9,9,5,0.4,65,11,14,0,8
59,Breakfast cereal 24,151,17,34,34,11,,4,0.1,55,10,11,0,9
60,Breakfast cereal 25,141,5,32,49,11,,2,0.1,85,0,25,0,11
61,Breakfast cereal 26,113,5,37,48,,,2,0.1,40,,30,0,11
62,Breakfast cereal 27,102,5,39,49,11,,2,0.1,64,0,20,1,11
63,Breakfast cereal 28,102,15,35,36,10,,5,0.1,55,8,13,0,8
64,Breakfast cereal 29,87,5,39,45,6,,5,0.1,55,,11,0,9
65,Breakfast cereal 31,82,5,39,49,6,,2,0.1,63,0,31,0,8
66,Breakfast cereal 31,81,4,31,49,13,,3,0.1,78,0,33,0,9
