,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
0,,R%,,,,,,,,,,,,,,,,,,,,,,,,
1,/MM-8x8r,S%,111115,,,,,,,,,,,,,,,,,,,,,,,
2,,,,I'N,,,"""IN",,,,,,,,0500,01=001),,,,,,I'N,,,,
3,/MM-8x8r,%,,,,,,'9 /986,,,,,,,111714,111714,,,,,,,,,,
4,/MM-xn,S%,,,,,1101121,,111115,,,,,,,,,,,,,,,,160/81,
5,(ISY%/MM-8,,,,O'N,,"""'N",146,,0+81=O0T>,0690,0+8=O0T>,N,,110,0+81=00T,155,0+8I=OO1>,'N,,081=0OT>),,,0+8I=0O1>,,0+8I=O0T>
6,/MMxW,R%,20000,,,,,,,,11,,,,,,,,,,,,,,,
7,/MMxn,IS%,,,,,,,,,,,,,,,,,,,,,,,,
8,/MM88r,%,,,,,11/111,,111110,,,,,,,,,,0/0,0/0,,111112,,,,
9,,,,N,,,(07+0=07>010,00+0=0010+10,,,,,,,,,111111,,,,,T'N,,,'N,
10,%/MM3,,,T'N,'N,,"""TN","""T'N","""I'N","""T'N","""T'N","""T'N",,,"""I'N","""I'N",'N,,111,I'N,,"""I'N",,,'N,
11,,,,,,M,,,,,,,,oa,,,,,,,,,Ceeheee,,,
