,0,1,2,3,4,5
0,,Digestible (g/100 g),,Bioaccessible (mg/100 g,,
1,Samples,,,,,
2,,Starch,Protein,Iron,Zinc,Calcium
3,A.Control,,,,,
4,Whole,17.19 0.65a,14.17  0.00ab,1.46  0.11d,0.53 0.00c,33.35  0.00a
5,Dehulled,23.93**0.50ab,14.30  0.00b,1.71 0.08c,0.89*0.03c,28.24***0.00a
6,B.With Fe (100 mg),,,,,
7,Whole,16.460.00a,14.14  0.17ab,42.81  0.00b,0.50 0.01,24.35  1.38b
8,Dehulled,25.27***0.00a,15.36*0.00ab,6.47**0.21b,0.83*0.01,23.13  0.47b
9,C.With Fe 200 mg),,,,,
10,Whole,15.66  0.43a,14.26  0.00a,85.44  1.87a,0.500.01,20.00  0.00b
11,Dehulled,22.96**0.52b,16.40*0.19a,11.94**0.21a,0.79*0.00d,22.29  0.83b
12,D.With Zn (50 mg,,,,,
13,Whole,14.91  0.74a,13.04  0.18ab,1.71 0.00c,3.30  0.11b,38.73  1.43a
14,Dehulled,24.11*0.59ab,15.38  0.55ab,1.70  0.11c,2.82*0.07b,27.65*0.00a
15,E.With Zn (100 mg),,,,,
16,Whole,16.26  0.65a,12.64  0.38b,1.46  0.05d,4.18  0.09a,37.91  1.00 a
17,Dehulled,24.23*0.48ab,16.11*0.19a,1.46  0.05c,3.55*0.06a,27.04*0.36a
18,Digestible/Bioaccessible nutrients as percent of total,Digestible/Bioaccessible nutrients as percent of total,,,,
19,Control,,,,,
20,Whole,36.811.40a,64.57  0.00b,20.90  1.60b,30.66  0.0ob,29.06 0.00a
21,Dehulled,47.28*0.38ab,71.06***0.00a,28.50*1.40b,40.61*1.49bc,65.79*0.00a
22,B.With Fe (100 mg),,,,,
23,Whole,39.370.00a,70.77  0.85ab,43.800.00a,25.50  0.70bc,23.53  1.34b
24,Dehulled,47.77**0.00a,75.84*0.00a,38.91*1.29a,39.79**0.89bc,62.11**1.23a
25,C.With Fe (200 mg),,,,,
26,Whole,36.41  1.00a,73.221.00,48.05  1.05a,22.70  0.70c,20.55  0.00b
27,Dehulled,42.92**0.97b,74.59  0.87a,44.48  0.83a,37.30*0.00c,61.19*2.27a
28,D.With Zn (50 mg,,,,,
29,Whole,34.16  1.72a,65.82  0.92b,23.34  0.0ob,44.751.55a,32.03  1.19a
30,Dehulled,43.73*1.07ab,72.67  2.61a,28.26  1.85b,45.51  1.30ab,63.21*0.00a
31,E.With Zn 100 mg,,,,,
32,Whole,36.56  1.44a,65.85  1.97b,19.71  0.73b,49.18  1.13a,30.52  0.81a
33,Dehulled,45.11*0.89ab,77.37*0.92a,23.20*0.90b,47.01 0.91a,61.37*0.83a
