,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,Geographic,Instrumental, Non-toxic elements,,,,,,Potentially toxic elements,Potentially toxic elements,,,,,Reference
1,location,method,,,,,,,,,,,,,
2,(number of,,,Cugkg-1,Fe(mgkg-1),Mnmgkg-1,Segkg-1,Zn(mg kg-1),As(g kg-1,,,,,Sb(gkg,
3,samples),,Crgkg-1),Cugkg-1,Fe(mgkg-1),Mnmgkg-1,Segkg-1,Zn(mg kg-1),As(g kg-1,Cdgkg-1,Hggkg-1Nigkg-1Pbgkg-1,,Hggkg-1Nigkg-1Pbgkg-1,Sb(gkg,
4,,,Min-max,Min-max,Min-max,Min-max,Min-max,Min-max,Min-max,Min-max,Min-max,Min-max,Min-max,Min-max,
5,,,means.d.),means.d.,means.d.),(means.d.,means.d.,means.d.,means.d.,means.d.,means.d.means.d.means.d.,,means.d.means.d.means.d.,means.d.),
6,Donkey milk,,,,,,,,,,,,,,
7,Italy45,ICP-MS,<0.121,36-490,0.295.40,0.01-0.07,10-64,0.525.02,13.89-142.531.06-20.41,13.89-142.531.06-20.41,0.05-1.90,10-90,2.4359.79,13.3059.38,Our study
8,,,,(16392,(1.53 0.96),(0.03  0.02),35 14,2.801.42,(62.5331.11) (6.934.88),(62.5331.11) (6.934.88),(0.880.45) (3420),(0.880.45) (3420),(13.88 9.87,(33.75  12.17),
9,(24),AAS,,80-300,0.43-2.64,Trace,,1.23-3.19,,,,,,,Salimei
10,,,,16060,(1.15 0.52,,,(1.990.51),,,,,,,et al. (2012)
11,Cow milk,,,,,,,,,,,,,,
12,Austria (12),HGAASa,,,,,,,,1.120.56)a,,(0.90.78)b,,,Gundacker
13,,GFAASb,,,,,,,,,,,<0.10-9.92,,et al.2002
14,"Calabria,",GFAASa,<1.50-82.04,<0.14-737.58,,,<1.06-110.58,<0.02-4.96,<0.15-684.00,<0.01-22.80,,,<0.10-9.92,,Licata
15,Italy (40,HGAASb,2.03,(1.98)a,,,(13.24a,(2.02)c,(37.90),(0.02)a,,,1.32a,,et al.(2004
16,,FAASC,,,,,,,,,,,,,
17,"Sicily, Italy 36)",,,9.10-229.90,,,6.40-41.50,3.70-9.60,0.20-188.70,0.01-20.10,,,0.40-170.10,,Naccari
18,,,,,,,,,,,,,,,et al.2006
19,"Calabria,",ICP-MS,(9.38  18.00),,(0.3250.013(0.0320.017,(0.3250.013(0.0320.017,,(3.8140.020),,,,,,,Benincasa
20,Italy12,,,,,,,,,,,,,,et al.(2008
21,"Constanta,",ICP-AES,40,170,0.72,0.08,,0.98,,0.004,,40,0.12,100,Birghila
22,Romania,,,,,,,,,,,,,,et al.2008
23,India(52),AAS,,20-290,0.00-35.4,,,0.86-14.7,,0.00-70332,,,0.00-790,,Patra
24,,,,1016,5.101.06,,,(3.95  0.40),,,,,(25030,,et al. (2008)
25,Iran(97,AAS,,,,,,,,,,,1-46 (7.9  8.8),,Tajkarimi
26,,,,,,,,,,,,,,,et al.2008)
27,"Mongolia,","AFSa,GFAASb,140.0030.00 170.0080.00b 1.930.96",,"AFSa,GFAASb,140.0030.00 170.0080.00b 1.930.96","AFSa,GFAASb,140.0030.00 170.0080.00b 1.930.96",0.200.01,42.1418.502.380.50,42.1418.502.380.50,nd<0.06,(4.193.80b,nd<0.015,,28.1511.23b,,Qin
28,China (8,FAASC,,,,,,,,,,,,,et al. (2009)
29,"Sao Paulo,",ETAASa,3-1797956100-2550,3-1797956100-2550,0.15-2.98,0.017-0.242,,2.57.6,,,,2-210,62-476,,Soares
30,Brazil (54,FAASb,,(1730890)b,1.050.89b,(0.0810.058)a,,(4.59 1.37)b,,,,7370,230120)a,,et al.2010
31,Croatia157,,,1.0-3773.0,,,,,1.0-1019.0,1.0-20.0,1.0-90.0,,1.0-476.0,,Bilandzic
32,Gostling.,ICP-SFMS,(4.10  4.90),(390.0 130.0),(0.93  0.03),(0.140.01,(290.0 10.0),(2.98  2.04),(5.201.90),(1.960.09),,(10.901.90) (10.304.90),(10.901.90) (10.304.90),,Herwig
33,Austria (6,,,,,,,,,,,,,,et al.2011
34,Human breast milk,,,,,,,,,,,,,,
35,GrazAustria,ICP-SFMS,<0.8-163,90-1400,0.110-1.570,0.0018-0.025,,,<1.3-30,,,<0.13-6.4,,,Prohaska
36,,,,,,,,,,,,,,,et al.2000
37,Austria(116),,,,,,,,,,1.591.21)a,,(1.631.66)b,,Gundacker
38,,,,,,,,,,,,,,,et al. (2002)
39,Japan(68),GFAASa,,119-705,,,,2.73-11.6,,0.07-1.22,,,,,Honda
40,,FAASb,,(304.8  1.45)b,,,,(5.32  1.78)b,,0.2771.82)a,,,,,et al.(2003
41,Japana,ICP-AES,(59 47),(350210),1.1925.10.0110.023(176,1.1925.10.0110.023(176,1.1925.10.0110.023(176,(1.451.35),,,,,,,Yamawaki
42,,,,,,,,,,,,,,,et al.2005)
43,"Zarrinshahr,",GFAAS,,,,,,,,0.62-6.32,,,3.18-21.08,,Rahimi
44,Iran (33,,,,,,,,,2.121.25),,,(9.78  4.28),,et al.(2009
45,"Belo Horizonte, ICP-OES","Belo Horizonte, ICP-OES",31.015.8,(431.7 233.5),,(0.0180.013),,(2.676  2.018),,nd<0.4,,(43.8  38.5),48.139.9,,Nascimento
46,Brazil (17),,,,,,,,,,,,,,et al.2010
