,0,1,2,3,4,5,6,7,8,9,10,11,12
0,Product,N,Aga,As*,Ba*,Cd**,Coo*,Cr*,Hgo,Mo*,Ni*,Pho*,
1,Beef,24,<2,1651,3440,9.514a,4.8  3.4,4020a,2.0  0.94,125.1a,22  23 a,4.4  5.6,1712
2,,,,1.3-250,(5.2-165,0.71-33),2.1-13,12-90,1.0-3.7,(5.8-26,6.1-85,0.75-22),(7.9-34)
3,Pork,32,<2,2.9  2.3 a,1733,1.5  0.77,4.0  3.5,38 35 a,5.7  7.1,12  7.3 a,4855a,3.8  4.4,<8
4,,,,1.5-9.8,(2.7-190),(0.76-3.3),(2.29.2),(6.8-167),(1.028),(5.0-42,6.7-212),(0.82-20),
5,Chicken meat,14,<2,3.6  0.57 a,50  81,3.6  2.7 a,2.6  0.53,6655a,<1,38 20 a,82110a,4.1  2.4,<8
6,,70,,(3.1-4.6,(4.3-283),(0.71-7.2),2.1-3.2,(6.7-170),,(17-81,14-310,(1.2-7.9),
7,TOTAL MEAT,70,<2,1038,29  49,4.4  7.9,4.1  3.0,4437,4.4  6.0,18165.0-81,46  67,4.1  4.4,1712
8,,,,1.3-250,(1.7-283),0.71-33),2.1-13,(6.7-170),(1.0-28),,(6.1-310,0.75-22),(8.2-34)
9,Bovine liver,11,6.9  4.3,9.8  8.2 a,24  27,70  40,4317 a,3852,2.7  1.8,1072  334,40 37,12  6.7 a,20 16
10,,12,(2.213),1.6-27,(4.593),54  31,1477,5.1-182,(1.2-4.8),(542-1720,(6.8-120,3.1  1.8 a,(8.2-43)
11,Pork liver,12,<2,2.5  1.1 a,8.6  5.9,54  31,14  3.7 a,3232,1.5  1.3,1194  214,16 15,3.1  1.8 a,16  5.4
12,,,,(1.44.7),(3.4-24),18-112,8.6-22),10-100,(1.1-4.8),(714-1616,6.1-43),(2.3-7.4),10-25
13,TOTAL LIVER,23,6.9  4.3,6.3  7.0,16 20,6135,28  20,3542,1.9  1.5,1136  280,27  30,7.3  6.5,17  9.4
14,,,(2.213),1.4-27,37  15,18-140,(8.6-77),58  33,(1.1-4.9,(542-1720,(6.1-120,4.3  1.3,(8.243)
15,Bacon,5,5.5 2.30,9.4  4.9,37  15,<2,<2,58  33,,181.6(16-20),4615a,4.3  1.3,<8
16,,,(3.4-9.4),4.2-14),(26-63),,,27-107,,,(31-68),(2.9-5.8,
17,Ham,20,<2,8.7  11,75 104,(2.1-15,(2.76.1),41  28,,16  13(5.1-67),20  16 a,5.9  4.6,<8
18,,,,(3.2-47),(8.3-480),(2.1-15,(2.76.1),16-135,,,(6.6-60,(2.6-17,
19,Prosciutto,7,<2,3.5  0.54,23  10,<2,<2,28  16,,15  3.8 (1122),15  2.1 a,2.9  0.61,<8
20,,,,(3.1-3.9),(11-36),,,(9.6-57,,,13-20),2.2-3.8),
21,Sirloin,5,<2,3.1-13,28  28,3.2  1.4,<2,90 140,,13  6.6,13  6.1 a,(2.730),<8
22,,,,3.1-13,(6.667),(2.2-4.1),,(15-336,,(6.122),(8.3-23),(2.730),
23,TOTAL PORK,37,5.5  2.3,3.147,54  80,3.9  3.3,3.9  11,47  55,8.5  26*,1510(5.1-67),21  16,5.6  5.9,<8
24,PRODUCTS,,(3.49.4),3.147,(6.6-480),2.1-15,(2.7-6.1),(9.6-336),1.1-113),,(6.6-68),2.2-30),
25,Beef with,10,<2,23  30,293  226,6.7  7.5,9.5  11,90  72,,260  290 a,155104a,7.5  6.8,11  4.2
26,vegetables,,,(6.0-68),(110-656),(2.820),2.1-32),(43-263),,(20705),(30296),14 16,(8.9-16)
27,Pork with,7,<2,22  29,280  193,8.5  6.2,3.9  2.3,60  38,,23 11 a,24  18 a,14 16,15  6.2
28,vegetables,,,(3.3-64),(134-700),(4.0-22,(2.18.6),53  41,,76  105 a,(6.3-50,(4.247),(10-19)
29,Beef breakfast,10,<2,5.8  1.7,(42-474),4.2  0.43,5.0  2.8,53  41,,76  105 a,6160a,(2.322),<8
30,,,,(4.49.3),(42-474),(3.44.5),(2.0-9.5),(5.1-110),,(24-370),11-184,(2.322),
31,Pork breakfast,5,<2,13  21,110  22,9.0  10,2.1  0.89,6042,,38  6.7 a,3211a,3.4  1.9,<8
32,,,,(2.0-44),(85-143),(2.0-16),2.0-3.7),24-114,,(31-45),(2250),(2.1-4.8,
33,TOTAL CANNED,32,<2,14  21,210184,7.2  6.1,5.4  6.5,6752,1.8  0.92*,116194,78  85,9.0  10,13  4.7
34,PRODUCTS,,,(2.068),42-700),(2.022),2.0-32),(5.1263),(1.23.8),(7.6-705),(6.3296),2.0-47,8.919)
35,Tea pate,5,<2,3.15.7,388  710,220  430,2.1-163,88  125,,(12-470),28-547),23  16,<8
36,,,,3.15.7,(54-1835),(5.0-865),2.1-163,11-340,,(12-470),28-547),2.3-40,
37,Chicken pate 1,5,<2,3.3  0.35,11033,2.4  0.57,3.4  2.5,42  20,,6456a,6446 a,2.9  0.05,<8
38,Chicken pate 2,,,(3.0-3.5),133  45,(2.02.8),(2.1-6.6),21-65,,(8.4-140),21-120,(2.93.2),
39,Chicken pate 2,5,<2,3.3  0.42,133  45,4.2  2.0,3.4  1.9,58  52,,88  7.4 a,13812a,(2.422),<8
40,,,,(3.0-3.6),81-161),(2.75.6),(2.2-4.7),(5.2-106),,(8095),125-148,(2.422),
41,Liver pate,5,<2,3.3  0.29,72  30,7.6  4.6,3.0  1.0,117  194,,202  62 a,1723 a,7.2  9.7,<8
42,,,,3.1-3.5),(36-110,(2.012),(2.14.2),5.1-462,,(168-312),(6.5-58,2.1-22),
43,Pork pate,5,<2,5164,476  773,203  372,40  70,120  124,,254 136 a,136231a,1213,<8
44,,,,(5.4-96,247  484,(6.2761),(2.7-144,54-305,,(172-456),12-482),2.3-21),
45,TOTAL PATE,25,<2,12  28,247  484,110  276,17  44,88  120,2.6  1.9,160  120,110  143,12  13,8
46,,25,,9.8  6.2,(36-1835),10  3.3,2.1163),(5.1-462),(1.1-5.3),(8.4470),6.5-547,2.1-40),8
47,Truffle salami,6,<2,9.8  6.2,60  22 a,10  3.3,2.7  0.56,83  51,,13  6.2 a,27  20 a,3.4  2.4,<8
48,,,,4.3-20,(2890),5.8-13,(2.13.1),(34-170,,(5.522,(1060),(2.1-6.3),
49,Mortadella salami,7,<2,4.7  1.4,165  66 a,<2,4.6  3.8,185  176,,(9.748,10438a,20  26,8
50,,,,(2.97.2),(110-303),,(2.4-13),46  23,,(9.748,(50-160),2.9-69),
51,Chicken salami,5,<2,25 17,90 41 a,8.0  5.0,3.7  1.9,46  23,,30 25 a,4245a,51  82,<8
52,,,,7.7-42,(47-139),(3.0-13),2.1-5.8,14-64,,(6.067),16-122),2.1-145,
53,TOTAL SALAMI,18,<2,11 10,110  66,9.3  3.8,4.0  2.9,112  125,2.5  2.4*,23165.5-67,60  48,23  42,<8
54,,,,2.9-42,28-303,(3.0-13),2.1-13,14-584,1.0-9.1,,10-160,2.1-145,
