,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,,Al*,Mean,,P95,,,As,Mean,,,,P95,,,Ba,,Mean,,P95,
1,Product group,Mean/P95,EWI,%TWI a,EWI,,%TWI a,Mean/,EDI,%BMDL1(M/F),%BMDL1(M/F),%BMDL1(M/F),EDI,% BMDL1 (M/F),% BMDL1 (M/F),Mean/,Mean/,EDI,%TDIc,EDI,%TDIc
2,,,(M/F),(M/F,(M/F,(M/F,(M/F,P95,(M/F),,,,(M/F),,,P95,,(M/F,(M/F,(M/F,(M/F
3,Total meat,0.49/,0.01/,1.0/,0.046/,0.046/,4.6/,10/,0.031/,0.38/,,,1.3/,17/,,29/,,0.088/,0.44/,0.98/,4.9/
4,,1.1,0.008,0.79,0.037,3.7,3.7,224,0.024,0.30,,,1.10,14,,165,,0.067,0.34,0.79,4.0
5,Total liver,0.38/,0.008/,0.80/,0.031/,0.031/,3.1/,6.3/,0.019/,0.23/,,,0.10/,1.3/,,16/,,0.048/,0.24/,0.33/,1.6/
6,,0.74,0.006,0.61,1.2/,2.5,2.5,18,0.015,0.18,,,0.085,1.1,,55,,0.037,1.6/,0.27,1.3
7,Total,4.9/,0.10/,10/,1.2/,,123/,9.8/,0.029/,0.37/,,,0.26/,3.3/,,109/,,0.33/,1.6/,1.3/,6.4/
8,meat products,29,0.079,7.9,1.0,100,100,44,0.23,0.28,,,0.21,2.7,,213,,0.25,1.3,1.0,5.2
9,,Cd,Mean,,,P95,,,Co,Mean,,,P95,,Cr,,Mean,Mean,,P95,
10,Product group,Mean/P95,EWI,%TWI a,%TWI a,EWI,,%TWI a,Mean/,EDI,% MRLd,% MRLd,EDI,% MRLd,Mean/,Mean/,EDI,,%TDI a,EDI,%TDI a
11,,,(M/F),(M/F),,M/F,M/F,(M/F),P95,(M/F),(M/F,(M/F,(M/F),(M/F),P95,,(M/F),(M/F),(M/F),(M/F),(M/F
12,Total meat,4.4/,0.092/,3.7/,,0.23/,0.23/,9.0/,4.1/,1.0/,10/,,5.9/,59/,44/,,0.13/,0.13/,0.044/,0.89/,0.30/
13,,5.4,0.0071,2.8,,0.18,0.18,7.3,12,0.62,6.3,,3.7,37,149,,0.10,0.034,0.034,0.72,0.24
14,Total liver,61/,1.3/,51/,,4.71,4.71,187/,28/,7.0/,70/,,34/,338/,35/,,0.10/,0.10/,0.035/,0.59/,0.20/
15,,112,1.0,40,,3.8,,152,69,4.3,43,,21,209,100,,0.080,0.027,0.027,0.48,0.16
16,Total,30/,0.63/,25/,,12/,,481/,4.1/,1.0/,10/,,6.4/,64/,86/,,0.26/,0.26/,0.086/,1.8/,0.61/
17,meat products,288,0.48,19,,9.8,,392,13,0.62,6.3,,3.9,39,305,,0.20,0.066,0.066,1.5,0.49
18,,Hg,Mean,,P95,,,Ni,Mean,,P95,,Pb,Mean,,,,P95,,,
19,Product group,Mean/P95,EWI,%TWI a,EWI,%TWI a,%TWI a,Mean/,EDI,%TDI c,EDI,%TDI c,Mean/,EDI,% BMDLo1,% BMDLo1,b(M/F),EDI,,% BMDLo1,M/F)
20,,,(M/F),(M/F,(M/F),(M/F,(M/F,P95,(M/F),(M/F,(M/F,(M/F),P95,(M/F),,,,(M/F),(M/F),,
21,Total meat,4.4/,0.093/,2.3/,0.47/,12/,12/,46/,0.14/,5.0/,1.0/,37/,4.1/,0.012/,0.81/,,,,0.066/,4.4/,
22,,11,0.0072,1.8,0.38,9.6,9.6,172,0.11,3.8,0.83,30,11,0.009,0.63,,,0.053,0.053,3.5,
23,Total liver,1.8/,0.004/,0.100/,0.20/,5.1/,5.1/,27/,0.081/,2.9/,0.52/,19/,7.3/,0.022/,1.5/,,,0.13/,0.13/,8.8/,
24,,4.8,0.003,0.076,0.16,4.1,4.1,88,0.062,2.2,0.42,15,22,0.017,1.1,,,0.11,0.11,7.2,
25,Total,6.6/,0.14/,3.5/,0.38/,9.5/,9.5/,51/,0.15/,5.5/,0.88/,31/,10/,0.031/,2.1/,,,0.24/,0.24/,16/,
26,meat products,9.1,0.11,2.7,0.31,7.7,7.7,147,0.12,4.2,0.71,25,40,0.024,1.6,,,0.19,0.19,13,
