,0,1,2,3,4,5,6,7,8
0,Elements,Calculated intakes (mg/day),Calculated intakes (mg/day),,,,Dietary reference intakes (mg/day),Dietary reference intakes (mg/day),
1,,Black teas,Green teas,Oolong tea,Herbs,Red ginseng,EAR,RDAs,UL
2,K,65.4,61.8,55.92,53.4,22.62,,3000-5100,
3,Ca,5.82,4.68,3.42,24.24,4.2,800-1100,1000-1300,2500-3000
4,Ti,0.016,0.016,0.016,0.03,0.024,,,-
5,Cr,0.007,-,-,-,-,-,0.0200.045,-
6,Mn,1.62,1.62,1.704,0.6,0.033,-,1.62.6,611
7,Fe,0.12,0.072,0.096,0.39,0.24,523,727,.4045
8,Ni,0.019,0.031,0.007,0.007,-,-,-,0.61
9,Cu,0.03,0.022,0.012,0.018,0.007,0.51,0.71.3,510
10,Zn,0.168,0.126,0.15,0.144,0.15,2.510.9,813,2340
